NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DBT	dihydrolipoamide branched chain transacylase E2 [Source:HGNC Symbol;Acc:HGNC:2698]	109	0.17937900125980377	0.02133767	Yes	
row_1	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	209	0.13366179168224335	0.03638698	Yes	
row_2	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	217	0.13138176500797272	0.055497803	Yes	
row_3	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	254	0.12211418896913528	0.071850315	Yes	
row_4	PPM1B	protein phosphatase, Mg2+/Mn2+ dependent 1B [Source:HGNC Symbol;Acc:HGNC:9276]	334	0.10532426834106445	0.08366175	Yes	
row_5	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	370	0.09957614541053772	0.096726276	Yes	
row_6	SLC25A10	solute carrier family 25 member 10 [Source:HGNC Symbol;Acc:HGNC:10980]	383	0.09821908175945282	0.110689685	Yes	
row_7	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:326]	401	0.09544230252504349	0.12400304	Yes	
row_8	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	488	0.0864022895693779	0.13267916	Yes	
row_9	PHYH	phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]	531	0.08235646039247513	0.14286034	Yes	
row_10	REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	537	0.08196665346622467	0.15475297	Yes	
row_11	CMPK1	cytidine/uridine monophosphate kinase 1 [Source:HGNC Symbol;Acc:HGNC:18170]	712	0.07022953778505325	0.1568277	Yes	
row_12	COQ9	coenzyme Q9 [Source:HGNC Symbol;Acc:HGNC:25302]	748	0.06883504241704941	0.1653423	Yes	
row_13	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	825	0.06560758501291275	0.17141882	Yes	
row_14	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]	835	0.06522077322006226	0.18064165	Yes	
row_15	MGST3	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]	920	0.062282443046569824	0.1858435	Yes	
row_16	ACO2	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	1119	0.056162528693675995	0.18468864	Yes	
row_17	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	1136	0.05579974874854088	0.1921824	Yes	
row_18	IMMT	inner membrane mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:6047]	1147	0.05536253750324249	0.19989835	Yes	
row_19	PTCD3	pentatricopeptide repeat domain 3 [Source:HGNC Symbol;Acc:HGNC:24717]	1200	0.05409914627671242	0.20541906	Yes	
row_20	SCP2	sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]	1251	0.05274931713938713	0.21083564	Yes	
row_21	DECR1	2,4-dienoyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:2753]	1278	0.05203196033835411	0.21729358	Yes	
row_22	ELMOD3	ELMO domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26158]	1317	0.05120496824383736	0.22305535	Yes	
row_23	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	1371	0.050262100994586945	0.22796033	Yes	
row_24	SAMM50	SAMM50 sorting and assembly machinery component [Source:HGNC Symbol;Acc:HGNC:24276]	1450	0.048795152455568314	0.23145284	Yes	
row_25	GPAT4	glycerol-3-phosphate acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20880]	1490	0.047935850918293	0.23668294	Yes	
row_26	SDHC	succinate dehydrogenase complex subunit C [Source:HGNC Symbol;Acc:HGNC:10682]	1582	0.04606816917657852	0.23915024	Yes	
row_27	RNF11	ring finger protein 11 [Source:HGNC Symbol;Acc:HGNC:10056]	1590	0.04594922065734863	0.24561638	Yes	
row_28	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	1653	0.04477405175566673	0.24927877	Yes	
row_29	PREB	prolactin regulatory element binding [Source:HGNC Symbol;Acc:HGNC:9356]	1684	0.044309649616479874	0.2544025	Yes	
row_30	PGM1	phosphoglucomutase 1 [Source:HGNC Symbol;Acc:HGNC:8905]	1696	0.0440116822719574	0.2603906	Yes	
row_31	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]	1755	0.04281574860215187	0.2639544	Yes	
row_32	DLD	dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]	1794	0.0420367456972599	0.2683592	Yes	
row_33	COX7B	cytochrome c oxidase subunit 7B [Source:HGNC Symbol;Acc:HGNC:2291]	1878	0.04070020094513893	0.2704145	Yes	
row_34	PPP1R15B	protein phosphatase 1 regulatory subunit 15B [Source:HGNC Symbol;Acc:HGNC:14951]	1942	0.03978169709444046	0.2732902	Yes	
row_35	SQOR	sulfide quinone oxidoreductase [Source:HGNC Symbol;Acc:HGNC:20390]	1965	0.03948075696825981	0.27808172	Yes	
row_36	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	2108	0.03760598972439766	0.27685797	Yes	
row_37	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	2152	0.037175778299570084	0.28030425	Yes	
row_38	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	2308	0.03531965613365173	0.27812052	Yes	
row_39	BCL6	BCL6 transcription repressor [Source:HGNC Symbol;Acc:HGNC:1001]	2331	0.03508671000599861	0.2822617	Yes	
row_40	UBQLN1	ubiquilin 1 [Source:HGNC Symbol;Acc:HGNC:12508]	2391	0.034366779029369354	0.28452718	Yes	
row_41	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	2397	0.034302547574043274	0.28936514	Yes	
row_42	POR	cytochrome p450 oxidoreductase [Source:HGNC Symbol;Acc:HGNC:9208]	2413	0.03412846103310585	0.2936992	Yes	
row_43	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII [Source:HGNC Symbol;Acc:HGNC:29594]	2416	0.03409964218735695	0.2986506	Yes	
row_44	QDPR	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	2433	0.033872392028570175	0.3028989	Yes	
row_45	GPHN	gephyrin [Source:HGNC Symbol;Acc:HGNC:15465]	2434	0.03383124992251396	0.3079062	Yes	
row_46	GHITM	growth hormone inducible transmembrane protein [Source:HGNC Symbol;Acc:HGNC:17281]	2485	0.03323003277182579	0.31043378	Yes	
row_47	NMT1	N-myristoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:7857]	2532	0.03275270387530327	0.31308195	Yes	
row_48	MRPL15	mitochondrial ribosomal protein L15 [Source:HGNC Symbol;Acc:HGNC:14054]	2578	0.03226541355252266	0.3157058	Yes	
row_49	ARAF	A-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:646]	2774	0.03019588254392147	0.31085113	Yes	
