NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	128	0.17042197287082672	0.03971189	No	
row_1	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	705	0.0706375390291214	0.031179285	No	
row_2	EIF4G3	eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]	1437	0.04909485951066017	0.009445741	No	
row_3	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	2167	0.03699985146522522	-0.015444766	No	
row_4	DARS1	aspartyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:2678]	2260	0.035816654562950134	-0.010209945	No	
row_5	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	2303	0.035364940762519836	-0.0027069964	No	
row_6	RARS1	arginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9870]	2515	0.03287619352340698	-0.003950163	No	
row_7	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	2632	0.03156105801463127	-0.0010067495	No	
row_8	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	2777	0.030184846371412277	2.2840223E-4	No	
row_9	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	2929	0.02890903875231743	7.8592415E-4	No	
row_10	EIF3A	eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]	3094	0.027484431862831116	3.3904955E-4	No	
row_11	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	3172	0.026791594922542572	0.0038637642	No	
row_12	MRPL3	mitochondrial ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10379]	3355	0.0252344012260437	0.0019515635	No	
row_13	ELF4	E74 like ETS transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3319]	3529	0.023688947781920433	5.3892712E-5	No	
row_14	UBE2D1	ubiquitin conjugating enzyme E2 D1 [Source:HGNC Symbol;Acc:HGNC:12474]	3556	0.023528998717665672	0.0051386342	No	
row_15	RPL9	ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:10369]	3624	0.022939972579479218	0.008105505	No	
row_16	TAP2	transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]	3834	0.021263737231492996	0.003835143	No	
row_17	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	4251	0.018297096714377403	-0.011125943	No	
row_18	GLMN	glomulin, FKBP associated protein [Source:HGNC Symbol;Acc:HGNC:14373]	4257	0.01826106198132038	-0.0064542033	No	
row_19	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	4530	0.01657296158373356	-0.014996888	No	
row_20	RPS9	ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]	4594	0.016136428341269493	-0.013668435	No	
row_21	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]	4792	0.014894244261085987	-0.019078152	No	
row_22	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	4824	0.014702053740620613	-0.016606081	No	
row_23	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	4848	0.01454123668372631	-0.01379492	No	
row_24	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	4902	0.014243408106267452	-0.01249761	No	
row_25	RPS3A	ribosomal protein S3A [Source:HGNC Symbol;Acc:HGNC:10421]	4929	0.014110502786934376	-0.009945657	No	
row_26	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	5122	0.012936845421791077	-0.015642792	No	
row_27	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	5149	0.012811677530407906	-0.013440114	No	
row_28	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	5349	0.011575181037187576	-0.019837968	No	
row_29	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	5437	0.011089646257460117	-0.021013685	No	
row_30	STAB1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]	5512	0.010654614306986332	-0.021685092	No	
row_31	CD86	CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]	5529	0.010499182157218456	-0.019626362	No	
row_32	CCND3	cyclin D3 [Source:HGNC Symbol;Acc:HGNC:1585]	5741	0.009308270178735256	-0.02720733	No	
row_33	WAS	WASP actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12731]	5836	0.008824968710541725	-0.0293266	No	
row_34	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	5847	0.008739284239709377	-0.027454382	No	
row_35	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	5856	0.008718102239072323	-0.025492277	No	
row_36	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	6171	0.007061589043587446	-0.03859999	No	
row_37	IL27RA	interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290]	7050	0.003540573874488473	-0.07960925	No	
row_38	FCGR2B	Fc gamma receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]	7108	0.0033522960729897022	-0.08143191	No	
row_39	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	7125	0.0033076859544962645	-0.08130709	No	
row_40	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	7143	0.0032588178291916847	-0.08124321	No	
row_41	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	7200	0.003070024773478508	-0.08309398	No	
row_42	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	7453	0.002308980328962207	-0.09451664	No	
row_43	FASLG	Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]	7723	0.001610507839359343	-0.1069396	No	
row_44	CD3E	CD3 epsilon subunit of T-cell receptor complex [Source:HGNC Symbol;Acc:HGNC:1674]	7733	0.0015778522938489914	-0.10694542	No	
row_45	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	7744	0.0015471521764993668	-0.10700729	No	
row_46	HLA-DOB	major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]	7759	0.0015260220970958471	-0.107266	No	
row_47	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	7859	0.0013546894770115614	-0.11163311	No	
row_48	HLA-DMA	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	7964	0.0011947792954742908	-0.11628219	No	
row_49	IRF4	interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]	8220	7.83749099355191E-4	-0.12825838	No	
row_50	CD247	CD247 molecule [Source:HGNC Symbol;Acc:HGNC:1677]	8285	6.947283400222659E-4	-0.13113025	No	
row_51	IL16	interleukin 16 [Source:HGNC Symbol;Acc:HGNC:5980]	8401	5.34036080352962E-4	-0.13648272	No	
row_52	PRF1	perforin 1 [Source:HGNC Symbol;Acc:HGNC:9360]	8568	3.73756920453161E-4	-0.14431567	No	
row_53	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	8753	2.255389845231548E-4	-0.15304875	No	
row_54	KLRD1	killer cell lectin like receptor D1 [Source:HGNC Symbol;Acc:HGNC:6378]	9015	4.794022970600054E-5	-0.16550958	No	
row_55	HLA-DOA	major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]	9227	-6.172828580019996E-5	-0.17557709	No	
row_56	ITK	IL2 inducible T cell kinase [Source:HGNC Symbol;Acc:HGNC:6171]	9452	-1.7095117073040456E-4	-0.18623653	No	
row_57	IL4	interleukin 4 [Source:HGNC Symbol;Acc:HGNC:6014]	9461	-1.7474600463174284E-4	-0.18657188	No	
row_58	TRAF2	TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]	9512	-1.9886325753759593E-4	-0.188908	No	
row_59	ACVR2A	activin A receptor type 2A [Source:HGNC Symbol;Acc:HGNC:173]	9515	-1.9950175192207098E-4	-0.18894993	No	
row_60	SOCS5	suppressor of cytokine signaling 5 [Source:HGNC Symbol;Acc:HGNC:16852]	9892	-3.527062071952969E-4	-0.20682488	No	
row_61	CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	9941	-3.7955076550133526E-4	-0.20901683	No	
row_62	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	10090	-4.5630362001247704E-4	-0.21596734	No	
row_63	F2	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	10166	-4.989449516870081E-4	-0.21941757	No	
row_64	GZMB	granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]	10183	-5.069324979558587E-4	-0.22004591	No	
row_65	CD1D	CD1d molecule [Source:HGNC Symbol;Acc:HGNC:1637]	10246	-5.413999315351248E-4	-0.22286344	No	
