NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RBSN	rabenosyn, RAB effector [Source:HGNC Symbol;Acc:HGNC:20759]	88	0.19254183769226074	0.027079534	No	
row_1	PRDM4	PR/SET domain 4 [Source:HGNC Symbol;Acc:HGNC:9348]	357	0.10139316320419312	0.030742636	No	
row_2	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	457	0.08924361318349838	0.04051108	No	
row_3	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	578	0.07814440876245499	0.04747201	No	
row_4	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	678	0.07171177864074707	0.05439166	No	
row_5	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	898	0.06306859850883484	0.054169893	No	
row_6	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	901	0.0630246177315712	0.06431531	No	
row_7	RNF4	ring finger protein 4 [Source:HGNC Symbol;Acc:HGNC:10067]	972	0.06048373505473137	0.07079692	No	
row_8	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	1044	0.05845649167895317	0.0769013	No	
row_9	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	1159	0.05492442846298218	0.08037601	No	
row_10	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	1259	0.05259763076901436	0.08418974	No	
row_11	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	1470	0.048443134874105453	0.08202172	No	
row_12	USP16	ubiquitin specific peptidase 16 [Source:HGNC Symbol;Acc:HGNC:12614]	1555	0.04665246605873108	0.08558653	No	
row_13	BRPF3	bromodomain and PHD finger containing 3 [Source:HGNC Symbol;Acc:HGNC:14256]	2100	0.037706345319747925	0.065705985	No	
row_14	ERAP2	endoplasmic reticulum aminopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:29499]	2101	0.037701044231653214	0.07183213	No	
row_15	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	2224	0.036273714154958725	0.07189377	No	
row_16	GATA3	GATA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:4172]	2453	0.0336420014500618	0.06646012	No	
row_17	USP8	ubiquitin specific peptidase 8 [Source:HGNC Symbol;Acc:HGNC:12631]	2640	0.03145803511142731	0.06267953	No	
