NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	214	0.13193826377391815	0.0020575442	No	
row_1	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	581	0.07780781388282776	-0.008198261	No	
row_2	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	630	0.07458631694316864	-0.0035447292	No	
row_3	SGCB	sarcoglycan beta [Source:HGNC Symbol;Acc:HGNC:10806]	870	0.06425949931144714	-0.008988619	No	
row_4	PFN2	profilin 2 [Source:HGNC Symbol;Acc:HGNC:8882]	1100	0.056627992540597916	-0.014665261	No	
row_5	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	1720	0.04343281686306	-0.040224463	No	
row_6	COPA	COPI coat complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:2230]	1907	0.04025761038064957	-0.045369726	No	
row_7	WIPF1	WAS/WASL interacting protein family member 1 [Source:HGNC Symbol;Acc:HGNC:12736]	3041	0.027903247624635696	-0.096959725	No	
row_8	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	3065	0.02771850861608982	-0.095477216	No	
row_9	QSOX1	quiescin sulfhydryl oxidase 1 [Source:HGNC Symbol;Acc:HGNC:9756]	4196	0.018688863143324852	-0.14778225	No	
row_10	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	4278	0.01811402663588524	-0.14996865	No	
row_11	NTM	neurotrimin [Source:HGNC Symbol;Acc:HGNC:17941]	4304	0.017957264557480812	-0.14949127	No	
row_12	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	5070	0.013237472623586655	-0.18484679	No	
row_13	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	5437	0.011089646257460117	-0.2013188	No	
row_14	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	5687	0.009577193297445774	-0.21233581	No	
row_15	PPIB	peptidylprolyl isomerase B [Source:HGNC Symbol;Acc:HGNC:9255]	5838	0.008809846825897694	-0.21868926	No	
row_16	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]	5960	0.008202638477087021	-0.22371228	No	
row_17	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	6955	0.003878885181620717	-0.2708925	No	
row_18	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	7453	0.002308980328962207	-0.29444817	No	
row_19	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	7860	0.0013500229688361287	-0.3137408	No	
row_20	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	8753	2.255389845231548E-4	-0.35638288	No	
row_21	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	9149	-2.8532904252642766E-5	-0.3752725	No	
row_22	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	9982	-3.968794771935791E-4	-0.4150289	No	
row_23	SGCG	sarcoglycan gamma [Source:HGNC Symbol;Acc:HGNC:10809]	10261	-5.49599586520344E-4	-0.42827404	No	
row_24	COL11A1	collagen type XI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2186]	11539	-0.0015760025708004832	-0.48920432	No	
row_25	MATN2	matrilin 2 [Source:HGNC Symbol;Acc:HGNC:6908]	11785	-0.0018251972505822778	-0.5007523	No	
