NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	60	0.22749608755111694	0.04297906	Yes	
row_1	RBM14	RNA binding motif protein 14 [Source:HGNC Symbol;Acc:HGNC:14219]	182	0.1431947946548462	0.06605078	Yes	
row_2	TMPO	thymopoietin [Source:HGNC Symbol;Acc:HGNC:11875]	374	0.09908437728881836	0.07688465	Yes	
row_3	HMGB3	high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]	516	0.0836472436785698	0.0869988	Yes	
row_4	DKC1	dyskerin pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:2890]	554	0.07960184663534164	0.101271816	Yes	
row_5	YTHDC1	YTH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30626]	574	0.07839817553758621	0.11616317	Yes	
row_6	KATNA1	katanin catalytic subunit A1 [Source:HGNC Symbol;Acc:HGNC:6216]	585	0.07736723124980927	0.13127722	Yes	
row_7	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	597	0.07671848684549332	0.14621268	Yes	
row_8	HMGN2	high mobility group nucleosomal binding domain 2 [Source:HGNC Symbol;Acc:HGNC:4986]	897	0.06311163306236267	0.14463124	Yes	
row_9	CCNT1	cyclin T1 [Source:HGNC Symbol;Acc:HGNC:1599]	989	0.06004663184285164	0.15238042	Yes	
row_10	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	1033	0.05869102478027344	0.16215217	Yes	
row_11	SMC2	structural maintenance of chromosomes 2 [Source:HGNC Symbol;Acc:HGNC:14011]	1093	0.05686584860086441	0.17079084	Yes	
row_12	TOP1	DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]	1153	0.055131345987319946	0.17907993	Yes	
row_13	LIG3	DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]	1170	0.05469775199890137	0.18933827	Yes	
row_14	CTCF	CCCTC-binding factor [Source:HGNC Symbol;Acc:HGNC:13723]	1283	0.05184801295399666	0.19443074	Yes	
row_15	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	1492	0.04789314419031143	0.19413461	Yes	
row_16	UPF1	UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]	1546	0.046791572123765945	0.20102991	Yes	
row_17	NSD2	nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]	1567	0.04639025777578354	0.20942266	Yes	
row_18	H2AZ2	H2A.Z variant histone 2 [Source:HGNC Symbol;Acc:HGNC:20664]	1569	0.046327345073223114	0.2187115	Yes	
row_19	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]	1642	0.04511049762368202	0.22435924	Yes	
row_20	SRSF10	serine and arginine rich splicing factor 10 [Source:HGNC Symbol;Acc:HGNC:16713]	1658	0.04469074681401253	0.23264864	Yes	
row_21	CUL4A	cullin 4A [Source:HGNC Symbol;Acc:HGNC:2554]	1820	0.04147859662771225	0.23330769	Yes	
row_22	NUP50	nucleoporin 50 [Source:HGNC Symbol;Acc:HGNC:8065]	1867	0.040903691202402115	0.23935117	Yes	
row_23	G3BP1	G3BP stress granule assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30292]	1900	0.04036986455321312	0.24595666	Yes	
row_24	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	1908	0.040250904858112335	0.25373387	Yes	
row_25	CUL3	cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553]	1917	0.04014234617352486	0.2614414	Yes	
row_26	NASP	nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644]	2073	0.03804856538772583	0.26169616	Yes	
row_27	SS18	SS18 subunit of BAF chromatin remodeling complex [Source:HGNC Symbol;Acc:HGNC:11340]	2378	0.0345943421125412	0.25412828	Yes	
row_28	NCL	nucleolin [Source:HGNC Symbol;Acc:HGNC:7667]	2460	0.03352877497673035	0.25701144	Yes	
row_29	RPA2	replication protein A2 [Source:HGNC Symbol;Acc:HGNC:10290]	2544	0.03264680504798889	0.2596212	Yes	
row_30	RAD23B	RAD23 homolog B, nucleotide excision repair protein [Source:HGNC Symbol;Acc:HGNC:9813]	2692	0.030906587839126587	0.2588192	Yes	
row_31	KIF22	kinesin family member 22 [Source:HGNC Symbol;Acc:HGNC:6391]	2742	0.030539700761437416	0.26263046	Yes	
row_32	TENT4A	terminal nucleotidyltransferase 4A [Source:HGNC Symbol;Acc:HGNC:16705]	2779	0.03017984703183174	0.266991	Yes	
row_33	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]	2780	0.030177583917975426	0.27307287	Yes	
row_34	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	3001	0.028269728645682335	0.26824796	No	
row_35	FOXN3	forkhead box N3 [Source:HGNC Symbol;Acc:HGNC:1928]	3068	0.027707556262612343	0.27067536	No	
row_36	MCM3	minichromosome maintenance complex component 3 [Source:HGNC Symbol;Acc:HGNC:6945]	3276	0.025878572836518288	0.26599032	No	
row_37	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	3439	0.024491440504789352	0.26317802	No	
row_38	SLC12A2	solute carrier family 12 member 2 [Source:HGNC Symbol;Acc:HGNC:10911]	3824	0.021350516006350517	0.24911474	No	
row_39	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	3833	0.02127540484070778	0.25301987	No	
row_40	NOLC1	nucleolar and coiled-body phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15608]	3847	0.021145226433873177	0.25665966	No	
row_41	RACGAP1	Rac GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9804]	4237	0.018372878432273865	0.24175714	No	
row_42	KPNA2	karyopherin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6395]	4269	0.018172552809119225	0.24393688	No	
row_43	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein [Source:HGNC Symbol;Acc:HGNC:16918]	4542	0.016493547707796097	0.23425156	No	
row_44	ILF3	interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038]	4558	0.016415918245911598	0.23684254	No	
row_45	NUP98	nucleoporin 98 and 96 precursor [Source:HGNC Symbol;Acc:HGNC:8068]	4618	0.015967484563589096	0.23723869	No	
row_46	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	4848	0.01454123668372631	0.22921653	No	
row_47	MTF2	metal response element binding transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:29535]	4896	0.014285814948379993	0.2298477	No	
row_48	GSPT1	G1 to S phase transition 1 [Source:HGNC Symbol;Acc:HGNC:4621]	4965	0.013852687552571297	0.22938718	No	
row_49	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	4988	0.013699997216463089	0.231096	No	
row_50	HUS1	HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]	5043	0.013370189815759659	0.23120783	No	
row_51	PRPF4B	pre-mRNA processing factor 4B [Source:HGNC Symbol;Acc:HGNC:17346]	5045	0.01335449330508709	0.23385143	No	
row_52	HNRNPD	heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036]	5121	0.012938877567648888	0.23287193	No	
row_53	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	5404	0.011251019313931465	0.22165178	No	
row_54	DBF4	DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]	5408	0.011236143298447132	0.22377278	No	
row_55	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	5437	0.011089646257460117	0.22466855	No	
row_56	PRMT5	protein arginine methyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10894]	5546	0.010395280085504055	0.22159809	No	
row_57	GINS2	GINS complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24575]	5642	0.009818946942687035	0.21903326	No	
row_58	HMGA1	high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]	5718	0.009426726959645748	0.21734594	No	
row_59	EWSR1	EWS RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3508]	5786	0.009113062173128128	0.21597804	No	
row_60	PDS5B	PDS5 cohesin associated factor B [Source:HGNC Symbol;Acc:HGNC:20418]	5803	0.009004481136798859	0.21702752	No	
row_61	CASP8AP2	caspase 8 associated protein 2 [Source:HGNC Symbol;Acc:HGNC:1510]	6012	0.007941939868032932	0.20867975	No	
row_62	JPT1	Jupiter microtubule associated homolog 1 [Source:HGNC Symbol;Acc:HGNC:14569]	6215	0.006855731830000877	0.20040007	No	
row_63	SFPQ	splicing factor proline and glutamine rich [Source:HGNC Symbol;Acc:HGNC:10774]	6518	0.0055413381196558475	0.18707262	No	
row_64	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	6597	0.005244435276836157	0.18439893	No	
row_65	EXO1	exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:3511]	6913	0.004060106817632914	0.17015119	No	
row_66	KMT5A	lysine methyltransferase 5A [Source:HGNC Symbol;Acc:HGNC:29489]	7078	0.003435589140281081	0.16299969	No	
row_67	CHAF1A	chromatin assembly factor 1 subunit A [Source:HGNC Symbol;Acc:HGNC:1910]	7101	0.0033706140238791704	0.16262677	No	
row_68	WRN	WRN RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:12791]	7128	0.0032996872905641794	0.16204824	No	
row_69	CCNF	cyclin F [Source:HGNC Symbol;Acc:HGNC:1591]	7131	0.003296893322840333	0.16261701	No	
row_70	DMD	dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]	7149	0.0032402961514890194	0.16245697	No	
row_71	RBL1	RB transcriptional corepressor like 1 [Source:HGNC Symbol;Acc:HGNC:9893]	7405	0.00244144001044333	0.15075272	No	
row_72	TRA2B	transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]	7465	0.0022643276024609804	0.14838718	No	
row_73	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	8386	5.456912913359702E-4	0.10449486	No	
row_74	KIF11	kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]	8490	4.4979233643971384E-4	0.09965917	No	
row_75	TRAIP	TRAF interacting protein [Source:HGNC Symbol;Acc:HGNC:30764]	8535	4.030561540275812E-4	0.09763594	No	
row_76	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	9269	-7.797550642862916E-5	0.0625933	No	
row_77	NEK2	NIMA related kinase 2 [Source:HGNC Symbol;Acc:HGNC:7745]	10043	-4.307741182856262E-4	0.025708623	No	
row_78	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	10696	-8.349809795618057E-4	-0.0053073345	No	
row_79	CENPA	centromere protein A [Source:HGNC Symbol;Acc:HGNC:1851]	10725	-8.531652274541557E-4	-0.006474591	No	
row_80	PTTG3P	pituitary tumor-transforming 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:13422]	11192	-0.0012288372963666916	-0.028515056	No	
row_81	STIL	STIL centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:10879]	11371	-0.0014148595510050654	-0.0367434	No	
row_82	CENPE	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]	11709	-0.00174732378218323	-0.05250948	No	
row_83	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	11933	-0.001985015347599983	-0.0627752	No	
row_84	CDKN3	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]	11994	-0.0020496733486652374	-0.06523183	No	
row_85	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	12022	-0.002082615392282605	-0.06610348	No	
row_86	EFNA5	ephrin A5 [Source:HGNC Symbol;Acc:HGNC:3225]	12056	-0.002126461360603571	-0.06725326	No	
row_87	TROAP	trophinin associated protein [Source:HGNC Symbol;Acc:HGNC:12327]	12089	-0.002171407686546445	-0.06834616	No	
row_88	DR1	down-regulator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:3017]	12574	-0.0027792854234576225	-0.09093507	No	
row_89	NDC80	NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909]	12579	-0.0027864326257258654	-0.09056482	No	
row_90	CHMP1A	charged multivesicular body protein 1A [Source:HGNC Symbol;Acc:HGNC:8740]	12634	-0.0028691147454082966	-0.09256933	No	
row_91	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]	12685	-0.0029318653978407383	-0.09436988	No	
row_92	E2F4	E2F transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3118]	12704	-0.00296020251698792	-0.094634205	No	
row_93	UBE2C	ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]	13018	-0.0034374746028333902	-0.108911775	No	
row_94	SAP30	Sin3A associated protein 30 [Source:HGNC Symbol;Acc:HGNC:10532]	13040	-0.003467512782663107	-0.109217346	No	
