NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	25	0.32537171244621277	0.051112734	Yes	
row_1	GMPPA	GDP-mannose pyrophosphorylase A [Source:HGNC Symbol;Acc:HGNC:22923]	62	0.22580541670322418	0.0856926	Yes	
row_2	GNPDA1	glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]	166	0.14854292571544647	0.104647	Yes	
row_3	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	214	0.13193826377391815	0.12361022	Yes	
row_4	GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	252	0.123644158244133	0.14171831	Yes	
row_5	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	254	0.12211418896913528	0.16130218	Yes	
row_6	NOL3	nucleolar protein 3 [Source:HGNC Symbol;Acc:HGNC:7869]	285	0.11303409934043884	0.17803931	Yes	
row_7	SLC25A10	solute carrier family 25 member 10 [Source:HGNC Symbol;Acc:HGNC:10980]	383	0.09821908175945282	0.18919036	Yes	
row_8	AKR1A1	aldo-keto reductase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:380]	436	0.09152571856975555	0.20141752	Yes	
row_9	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]	606	0.07615955173969269	0.20557867	Yes	
row_10	GPC1	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	630	0.07458631694316864	0.21646954	Yes	
row_11	B4GALT7	beta-1,4-galactosyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:930]	642	0.07370728999376297	0.22779301	Yes	
row_12	COPB2	COPI coat complex subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:2232]	750	0.06873073428869247	0.23372509	Yes	
row_13	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	853	0.06473884731531143	0.23925455	Yes	
row_14	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:25527]	903	0.06295378506183624	0.24703184	Yes	
row_15	MPI	mannose phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:7216]	929	0.062054578214883804	0.25581238	Yes	
row_16	MDH1	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	936	0.06177028268575668	0.26545593	Yes	
