NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RANBP10	RAN binding protein 10 [Source:HGNC Symbol;Acc:HGNC:29285]	79	0.2043004184961319	0.030606957	Yes	
row_1	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	136	0.16468502581119537	0.0556461	Yes	
row_2	TMEM9B	TMEM9 domain family member B [Source:HGNC Symbol;Acc:HGNC:1168]	207	0.13400760293006897	0.07485332	Yes	
row_3	DCAF10	DDB1 and CUL4 associated factor 10 [Source:HGNC Symbol;Acc:HGNC:23686]	246	0.1248786598443985	0.09405355	Yes	
row_4	MINPP1	multiple inositol-polyphosphate phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:7102]	342	0.10367374867200851	0.10696098	Yes	
row_5	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein [Source:HGNC Symbol;Acc:HGNC:17146]	369	0.09963887929916382	0.12248701	Yes	
row_6	NFE2L1	NFE2 like bZIP transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7781]	399	0.0956508070230484	0.1371985	Yes	
row_7	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	457	0.08924361318349838	0.14949352	Yes	
row_8	MARCHF8	membrane associated ring-CH-type finger 8 [Source:HGNC Symbol;Acc:HGNC:23356]	530	0.08237151056528091	0.1599151	Yes	
row_9	XPO7	exportin 7 [Source:HGNC Symbol;Acc:HGNC:14108]	550	0.08018834888935089	0.17250228	Yes	
row_10	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	567	0.07869575917720795	0.18498163	Yes	
row_11	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	581	0.07780781388282776	0.19745491	Yes	
row_12	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:1144]	586	0.07730378955602646	0.2102735	Yes	
