NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GABBR1	gamma-aminobutyric acid type B receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:4070]	29	0.321152001619339	0.048220713	No	
row_1	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	84	0.19719286262989044	0.0760984	No	
row_2	HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	523	0.08317577093839645	0.0680024	No	
row_3	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	783	0.06728146225214005	0.066010535	No	
row_4	SLC11A2	solute carrier family 11 member 2 [Source:HGNC Symbol;Acc:HGNC:10908]	816	0.0658683255314827	0.07465487	No	
row_5	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	1159	0.05492442846298218	0.066785425	No	
row_6	PSEN1	presenilin 1 [Source:HGNC Symbol;Acc:HGNC:9508]	1259	0.05259763076901436	0.07017613	No	
row_7	ATP2C1	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]	1606	0.04578056186437607	0.060702987	No	
row_8	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1910	0.04021487385034561	0.052426267	No	
row_9	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	2054	0.038254234939813614	0.051497433	No	
row_10	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	2090	0.03777431324124336	0.05565872	No	
row_11	SLC31A1	solute carrier family 31 member 1 [Source:HGNC Symbol;Acc:HGNC:11016]	2124	0.03745051100850105	0.059865627	No	
row_12	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	2279	0.03561432287096977	0.058003027	No	
row_13	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	2757	0.03036998026072979	0.03988541	No	
row_14	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	2777	0.030184846371412277	0.04363945	No	
row_15	PDPN	podoplanin [Source:HGNC Symbol;Acc:HGNC:29602]	3250	0.02607557363808155	0.025097575	No	
row_16	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	3601	0.023129383102059364	0.011934302	No	
row_17	ITGB8	integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163]	3658	0.022722473368048668	0.012766416	No	
