NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	USP18	ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]	1	0.6052978038787842	0.12552613	Yes	
row_1	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2 [Source:HGNC Symbol;Acc:HGNC:9437]	84	0.19719286262989044	0.16251439	Yes	
row_2	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	128	0.17042197287082672	0.19581367	Yes	
row_3	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	290	0.11209686845541	0.21137051	Yes	
row_4	IRF5	interferon regulatory factor 5 [Source:HGNC Symbol;Acc:HGNC:6120]	492	0.08624699711799622	0.21965191	Yes	
row_5	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	578	0.07814440876245499	0.23179914	Yes	
row_6	RBCK1	RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]	606	0.07615955173969269	0.246308	Yes	
row_7	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	705	0.0706375390291214	0.25627625	Yes	
row_8	SLC25A28	solute carrier family 25 member 28 [Source:HGNC Symbol;Acc:HGNC:23472]	782	0.06734193861484528	0.26661277	Yes	
row_9	TOR1B	torsin family 1 member B [Source:HGNC Symbol;Acc:HGNC:11995]	878	0.06383814662694931	0.27531388	Yes	
row_10	LAP3	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]	898	0.06306859850883484	0.28748944	Yes	
row_11	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	1044	0.05845649167895317	0.29268324	Yes	
row_12	ADAR	adenosine deaminase RNA specific [Source:HGNC Symbol;Acc:HGNC:225]	1145	0.055419791489839554	0.2993988	Yes	
row_13	DHX58	DExH-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:29517]	1174	0.05461708828806877	0.3093907	Yes	
row_14	CMTR1	cap methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21077]	1207	0.05394770950078964	0.31905243	Yes	
row_15	DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	1245	0.05302908271551132	0.3282845	Yes	
row_16	TRIM25	tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]	1354	0.050527866929769516	0.33360267	Yes	
row_17	LGALS3BP	galectin 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6564]	1432	0.04916771128773689	0.340121	Yes	
row_18	SPPL2A	signal peptide peptidase like 2A [Source:HGNC Symbol;Acc:HGNC:30227]	1671	0.04447484016418457	0.3379672	Yes	
row_19	IRF9	interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]	1726	0.04329927638173103	0.34436786	Yes	
row_20	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1910	0.04021487385034561	0.34396023	Yes	
row_21	TRIM26	tripartite motif containing 26 [Source:HGNC Symbol;Acc:HGNC:12962]	1951	0.039603229612112045	0.35026354	Yes	
row_22	PARP14	poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]	2105	0.037627097219228745	0.35075358	Yes	
row_23	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	2286	0.03556947410106659	0.34952566	Yes	
row_24	PSMA3	proteasome 20S subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:9532]	2385	0.03450489044189453	0.35199788	Yes	
row_25	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:HGNC Symbol;Acc:HGNC:21919]	2665	0.031089793890714645	0.34510675	Yes	
