NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CEP250	centrosomal protein 250 [Source:HGNC Symbol;Acc:HGNC:1859]	145	0.1568634957075119	0.012893863	No	
row_1	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	190	0.1406693458557129	0.028570928	No	
row_2	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]	279	0.11398650705814362	0.038770888	No	
row_3	PCM1	pericentriolar material 1 [Source:HGNC Symbol;Acc:HGNC:8727]	300	0.11025741696357727	0.051751506	No	
row_4	ARHGAP5	Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:HGNC:675]	321	0.10708792507648468	0.06433149	No	
row_5	FGD4	FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]	392	0.09645216912031174	0.07317585	No	
row_6	MID1IP1	MID1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:20715]	403	0.09494872391223907	0.08469961	No	
row_7	LATS1	large tumor suppressor kinase 1 [Source:HGNC Symbol;Acc:HGNC:6514]	450	0.0898437350988388	0.09385641	No	
row_8	TLK1	tousled like kinase 1 [Source:HGNC Symbol;Acc:HGNC:11841]	494	0.08586132526397705	0.10265329	No	
row_9	WASL	WASP like actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12735]	505	0.08447683602571487	0.11285335	No	
row_10	KATNA1	katanin catalytic subunit A1 [Source:HGNC Symbol;Acc:HGNC:6216]	585	0.07736723124980927	0.118854865	No	
row_11	LRPPRC	leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]	609	0.0759771391749382	0.12735881	No	
row_12	ARHGEF3	Rho guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:683]	669	0.07209990173578262	0.13365099	No	
row_13	CEP192	centrosomal protein 192 [Source:HGNC Symbol;Acc:HGNC:25515]	753	0.06862957030534744	0.13835672	No	
row_14	RALBP1	ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]	1018	0.059133198112249374	0.13320592	No	
row_15	RICTOR	RPTOR independent companion of MTOR complex 2 [Source:HGNC Symbol;Acc:HGNC:28611]	1046	0.05841844528913498	0.13929906	No	
row_16	WASF2	WASP family member 2 [Source:HGNC Symbol;Acc:HGNC:12733]	1235	0.0533333346247673	0.13704975	No	
row_17	KIF3B	kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]	1291	0.05176224559545517	0.14096244	No	
row_18	KIFAP3	kinesin associated protein 3 [Source:HGNC Symbol;Acc:HGNC:17060]	1336	0.050854530185461044	0.14528646	No	
row_19	ARHGEF7	Rho guanine nucleotide exchange factor 7 [Source:HGNC Symbol;Acc:HGNC:15607]	1402	0.04959121719002724	0.14844647	No	
row_20	TSC1	TSC complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:12362]	1413	0.04942803457379341	0.15421619	No	
row_21	STAU1	staufen double-stranded RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11370]	1469	0.048447977751493454	0.15770994	No	
row_22	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	1482	0.04821356013417244	0.1632305	No	
row_23	NIN	ninein [Source:HGNC Symbol;Acc:HGNC:14906]	1595	0.045898329466581345	0.16367598	No	
row_24	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]	1642	0.04511049762368202	0.16717827	No	
row_25	RASA1	RAS p21 protein activator 1 [Source:HGNC Symbol;Acc:HGNC:9871]	1656	0.04472858086228371	0.17221048	No	
row_26	TUBGCP6	tubulin gamma complex associated protein 6 [Source:HGNC Symbol;Acc:HGNC:18127]	1762	0.04269283637404442	0.17258556	No	
row_27	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	1988	0.03908868506550789	0.16676617	No	
row_28	TUBGCP3	tubulin gamma complex associated protein 3 [Source:HGNC Symbol;Acc:HGNC:18598]	2019	0.0386449433863163	0.17021637	No	
row_29	BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	2227	0.03624776005744934	0.1648987	No	
row_30	SUN2	Sad1 and UNC84 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14210]	2250	0.03588094934821129	0.1683821	No	
row_31	NCK1	NCK adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:7664]	2303	0.035364940762519836	0.17036556	No	
row_32	SHROOM1	shroom family member 1 [Source:HGNC Symbol;Acc:HGNC:24084]	2529	0.032774847000837326	0.16374807	No	
row_33	ARHGEF11	Rho guanine nucleotide exchange factor 11 [Source:HGNC Symbol;Acc:HGNC:14580]	2614	0.0318513885140419	0.16375703	No	
row_34	ARL8A	ADP ribosylation factor like GTPase 8A [Source:HGNC Symbol;Acc:HGNC:25192]	2633	0.03154301643371582	0.1668834	No	
row_35	DLG1	discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900]	2636	0.03151930123567581	0.17077194	No	
row_36	KIF22	kinesin family member 22 [Source:HGNC Symbol;Acc:HGNC:6391]	2742	0.030539700761437416	0.1696108	No	
row_37	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	2757	0.03036998026072979	0.17278019	No	
row_38	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	2790	0.03009393997490406	0.17505383	No	
row_39	KATNB1	katanin regulatory subunit B1 [Source:HGNC Symbol;Acc:HGNC:6217]	2877	0.02933778241276741	0.17464942	No	
row_40	OPHN1	oligophrenin 1 [Source:HGNC Symbol;Acc:HGNC:8148]	2943	0.02876611426472664	0.17517704	No	
row_41	MAPRE1	microtubule associated protein RP/EB family member 1 [Source:HGNC Symbol;Acc:HGNC:6890]	2958	0.028638003394007683	0.1781275	No	
row_42	TBCD	tubulin folding cofactor D [Source:HGNC Symbol;Acc:HGNC:11581]	2966	0.028571022674441338	0.18140425	No	
row_43	CLIP1	CAP-Gly domain containing linker protein 1 [Source:HGNC Symbol;Acc:HGNC:10461]	2975	0.028495529666543007	0.18462363	No	
row_44	ATG4B	autophagy related 4B cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:20790]	2997	0.028280558064579964	0.18719414	No	
row_45	CDC27	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	3001	0.028269728645682335	0.1906241	No	
row_46	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	3032	0.027965448796749115	0.19272436	No	
row_47	RABGAP1	RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155]	3035	0.027940988540649414	0.1961606	No	
row_48	PPP4R2	protein phosphatase 4 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:18296]	3071	0.027678852900862694	0.1979855	No	
row_49	ECT2	epithelial cell transforming 2 [Source:HGNC Symbol;Acc:HGNC:3155]	3486	0.02398831397294998	0.18121861	No	
row_50	TUBGCP2	tubulin gamma complex associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18599]	3493	0.023941263556480408	0.18395796	No	
row_51	STK38L	serine/threonine kinase 38 like [Source:HGNC Symbol;Acc:HGNC:17848]	3569	0.023425372317433357	0.18333225	No	
row_52	ALS2	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]	3638	0.022898219525814056	0.18297467	No	
row_53	CLASP1	cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088]	3937	0.020429838448762894	0.17130555	No	
row_54	CAPZB	capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]	3998	0.020048175007104874	0.17097029	No	
row_55	RHOT2	ras homolog family member T2 [Source:HGNC Symbol;Acc:HGNC:21169]	4027	0.019874513149261475	0.17214346	No	
row_56	HOOK3	hook microtubule tethering protein 3 [Source:HGNC Symbol;Acc:HGNC:23576]	4057	0.019633673131465912	0.17323837	No	
row_57	TAOK2	TAO kinase 2 [Source:HGNC Symbol;Acc:HGNC:16835]	4096	0.019335104152560234	0.17386511	No	
row_58	ARHGAP27	Rho GTPase activating protein 27 [Source:HGNC Symbol;Acc:HGNC:31813]	4191	0.018730873242020607	0.17173733	No	
row_59	RACGAP1	Rac GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9804]	4237	0.018372878432273865	0.17190768	No	
row_60	CEP131	centrosomal protein 131 [Source:HGNC Symbol;Acc:HGNC:29511]	4350	0.017634624615311623	0.16878049	No	
row_61	CDC42BPA	CDC42 binding protein kinase alpha [Source:HGNC Symbol;Acc:HGNC:1737]	4441	0.017109554260969162	0.16663906	No	
row_62	CSNK1D	casein kinase 1 delta [Source:HGNC Symbol;Acc:HGNC:2452]	4453	0.01699201762676239	0.16826087	No	
row_63	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	4564	0.01634415052831173	0.16506623	No	
row_64	SHROOM2	shroom family member 2 [Source:HGNC Symbol;Acc:HGNC:630]	4570	0.01629866287112236	0.16688733	No	
row_65	RAPGEF6	Rap guanine nucleotide exchange factor 6 [Source:HGNC Symbol;Acc:HGNC:20655]	4581	0.016213243827223778	0.16845854	No	
row_66	CYTH2	cytohesin 2 [Source:HGNC Symbol;Acc:HGNC:9502]	4611	0.01600884459912777	0.16909523	No	
row_67	NCK2	NCK adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:7665]	4612	0.016001762822270393	0.17111793	No	
row_68	HDAC6	histone deacetylase 6 [Source:HGNC Symbol;Acc:HGNC:14064]	4650	0.015731466934084892	0.171337	No	
row_69	CNTROB	centrobin, centriole duplication and spindle assembly protein [Source:HGNC Symbol;Acc:HGNC:29616]	4683	0.015537641942501068	0.17177066	No	
row_70	CDK5RAP2	CDK5 regulatory subunit associated protein 2 [Source:HGNC Symbol;Acc:HGNC:18672]	4775	0.014978976920247078	0.16931209	No	
row_71	MARK4	microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]	4966	0.01385185681283474	0.16197647	No	
row_72	EPB41	erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]	5039	0.013390786945819855	0.16022581	No	
row_73	PXN	paxillin [Source:HGNC Symbol;Acc:HGNC:9718]	5044	0.01336255855858326	0.16172361	No	
row_74	KNTC1	kinetochore associated 1 [Source:HGNC Symbol;Acc:HGNC:17255]	5058	0.013297143392264843	0.16278273	No	
row_75	KLC1	kinesin light chain 1 [Source:HGNC Symbol;Acc:HGNC:6387]	5196	0.012514919973909855	0.15781279	No	
row_76	ALMS1	ALMS1 centrosome and basal body associated protein [Source:HGNC Symbol;Acc:HGNC:428]	5228	0.012328816577792168	0.15788867	No	
row_77	RANBP9	RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]	5359	0.011524264700710773	0.15312827	No	
row_78	ARHGAP4	Rho GTPase activating protein 4 [Source:HGNC Symbol;Acc:HGNC:674]	5650	0.009771684184670448	0.1404945	No	
row_79	ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	5748	0.009292096830904484	0.13703014	No	
row_80	PCGF5	polycomb group ring finger 5 [Source:HGNC Symbol;Acc:HGNC:28264]	6008	0.007961423136293888	0.12565008	No	
row_81	UXT	ubiquitously expressed prefoldin like chaperone [Source:HGNC Symbol;Acc:HGNC:12641]	6847	0.004329011309891939	0.08612078	No	
row_82	ROCK1	Rho associated coiled-coil containing protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:10251]	6898	0.004098975565284491	0.08424771	No	
row_83	NEDD9	neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]	6923	0.004024597816169262	0.08360866	No	
row_84	SPTBN1	spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]	7056	0.0035269903019070625	0.07774172	No	
