NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CANX	calnexin [Source:HGNC Symbol;Acc:HGNC:1473]	105	0.18066371977329254	0.026574736	Yes	
row_1	TOMM70	translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]	414	0.09385085850954056	0.028256768	Yes	
row_2	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	597	0.07671848684549332	0.032969143	Yes	
row_3	UBE2E1	ubiquitin conjugating enzyme E2 E1 [Source:HGNC Symbol;Acc:HGNC:12477]	741	0.06898427754640579	0.038194258	Yes	
row_4	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	800	0.06641844660043716	0.047036245	Yes	
row_5	EIF1AX	eukaryotic translation initiation factor 1A X-linked [Source:HGNC Symbol;Acc:HGNC:3250]	915	0.06236904114484787	0.05249149	Yes	
row_6	SRSF7	serine and arginine rich splicing factor 7 [Source:HGNC Symbol;Acc:HGNC:10789]	1054	0.05816071107983589	0.05606278	Yes	
row_7	SLC25A3	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	1107	0.05644286796450615	0.06344709	Yes	
row_8	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	1156	0.05498884990811348	0.070768416	Yes	
row_9	DDX18	DEAD-box helicase 18 [Source:HGNC Symbol;Acc:HGNC:2741]	1176	0.05457925796508789	0.07940521	Yes	
row_10	PTGES3	prostaglandin E synthase 3 [Source:HGNC Symbol;Acc:HGNC:16049]	1180	0.05448854714632034	0.08879143	Yes	
row_11	PHB1	prohibitin 1 [Source:HGNC Symbol;Acc:HGNC:8912]	1268	0.05224539339542389	0.093767546	Yes	
row_12	STARD7	StAR related lipid transfer domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18063]	1451	0.04879115894436836	0.0935956	Yes	
row_13	HNRNPC	heterogeneous nuclear ribonucleoprotein C [Source:HGNC Symbol;Acc:HGNC:5035]	1591	0.04592849314212799	0.09497972	Yes	
row_14	COPS5	COP9 signalosome subunit 5 [Source:HGNC Symbol;Acc:HGNC:2240]	1664	0.04458834230899811	0.09933413	Yes	
row_15	RPL22	ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:10315]	1668	0.04451092332601547	0.10697532	Yes	
row_16	PRDX4	peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169]	1725	0.04331272467970848	0.11187192	Yes	
row_17	IMPDH2	inosine monophosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6053]	1776	0.04237885773181915	0.11689218	Yes	
row_18	RANBP1	RAN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9847]	1814	0.04164884239435196	0.122406565	Yes	
row_19	G3BP1	G3BP stress granule assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30292]	1900	0.04036986455321312	0.12540138	Yes	
row_20	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	1908	0.040250904858112335	0.1321062	Yes	
row_21	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	1911	0.04021373763680458	0.13904367	Yes	
row_22	NCBP2	nuclear cap binding protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:7659]	1947	0.03971696272492409	0.14431585	Yes	
row_23	VDAC3	voltage dependent anion channel 3 [Source:HGNC Symbol;Acc:HGNC:12674]	1994	0.03900086507201195	0.14893664	Yes	
row_24	TRIM28	tripartite motif containing 28 [Source:HGNC Symbol;Acc:HGNC:16384]	1997	0.038977377116680145	0.15565789	Yes	
row_25	SNRPG	small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:HGNC:11163]	2035	0.03849494457244873	0.16062067	Yes	
row_26	PGK1	phosphoglycerate kinase 1 [Source:HGNC Symbol;Acc:HGNC:8896]	2088	0.03784451633691788	0.16475224	Yes	
row_27	SRPK1	SRSF protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:11305]	2104	0.03764907643198967	0.17061937	Yes	
row_28	CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	2108	0.03760598972439766	0.17705293	Yes	
row_29	MRPL9	mitochondrial ribosomal protein L9 [Source:HGNC Symbol;Acc:HGNC:14277]	2121	0.03748711943626404	0.18303522	Yes	
row_30	DEK	DEK proto-oncogene [Source:HGNC Symbol;Acc:HGNC:2768]	2165	0.0370597168803215	0.18746002	Yes	
row_31	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:587]	2209	0.03645612671971321	0.19177924	Yes	
row_32	KARS1	lysyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:6215]	2340	0.034987132996320724	0.19168027	Yes	
row_33	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	2397	0.034302547574043274	0.19500105	Yes	
row_34	IARS1	isoleucyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:5330]	2448	0.03368657827377319	0.19850108	Yes	
