NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	9	0.481032133102417	0.069802836	No	
row_1	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	219	0.1306450366973877	0.07888863	No	
row_2	MEF2A	myocyte enhancer factor 2A [Source:HGNC Symbol;Acc:HGNC:6993]	247	0.12486839294433594	0.09582957	No	
row_3	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	435	0.09158357977867126	0.10026367	No	
row_4	GABARAPL2	GABA type A receptor associated protein like 2 [Source:HGNC Symbol;Acc:HGNC:13291]	440	0.09125671535730362	0.11339641	No	
row_5	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	488	0.0864022895693779	0.12376523	No	
row_6	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	563	0.07902655005455017	0.1317667	No	
row_7	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	581	0.07780781388282776	0.14231451	No	
row_8	LARGE1	LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]	969	0.06066654622554779	0.13267572	No	
row_9	SPEG	striated muscle enriched protein kinase [Source:HGNC Symbol;Acc:HGNC:16901]	1071	0.05755852535367012	0.13625233	No	
row_10	ATP6AP1	ATPase H+ transporting accessory protein 1 [Source:HGNC Symbol;Acc:HGNC:868]	1187	0.05429145321249962	0.1386828	No	
row_11	PFKM	phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]	1414	0.04939056932926178	0.13509254	No	
row_12	EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	1690	0.044131748378276825	0.12839256	No	
row_13	MEF2D	myocyte enhancer factor 2D [Source:HGNC Symbol;Acc:HGNC:6997]	1714	0.043529849499464035	0.13364886	No	
row_14	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1910	0.04021487385034561	0.13020054	No	
row_15	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	2152	0.037175778299570084	0.124109946	No	
row_16	PVALB	parvalbumin [Source:HGNC Symbol;Acc:HGNC:9704]	2327	0.03511475771665573	0.120920666	No	
row_17	SH2B1	SH2B adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30417]	2409	0.03415146470069885	0.1220356	No	
row_18	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	2542	0.032657455652952194	0.1204949	No	
row_19	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	3172	0.026791594922542572	0.09434399	No	
row_20	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase [Source:HGNC Symbol;Acc:HGNC:321]	3341	0.025330713018774986	0.09001295	No	
row_21	FHL1	four and a half LIM domains 1 [Source:HGNC Symbol;Acc:HGNC:3702]	3745	0.021982522681355476	0.07396141	No	
row_22	FOXO4	forkhead box O4 [Source:HGNC Symbol;Acc:HGNC:7139]	3784	0.02170654945075512	0.075314485	No	
row_23	EPHB3	EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]	3788	0.021614426746964455	0.07832691	No	
row_24	TCAP	titin-cap [Source:HGNC Symbol;Acc:HGNC:11610]	3832	0.02127891778945923	0.07937858	No	
row_25	LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	3938	0.020422067493200302	0.0773419	No	
row_26	PLXNB2	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	4030	0.019857266917824745	0.075891875	No	
row_27	SORBS3	sorbin and SH3 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30907]	4031	0.019844643771648407	0.07878929	No	
row_28	PTP4A3	protein tyrosine phosphatase 4A3 [Source:HGNC Symbol;Acc:HGNC:9636]	4169	0.018895534798502922	0.07500031	No	
row_29	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	4271	0.018160505220294	0.072824605	No	
row_30	TSC2	TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]	4362	0.017557866871356964	0.07108665	No	
row_31	MRAS	muscle RAS oncogene homolog [Source:HGNC Symbol;Acc:HGNC:7227]	4436	0.017119284719228745	0.07009716	No	
row_32	PICK1	protein interacting with PRKCA 1 [Source:HGNC Symbol;Acc:HGNC:9394]	4634	0.01584772765636444	0.06299553	No	
row_33	HDAC5	histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]	4741	0.015196869149804115	0.060148153	No	
row_34	FLII	FLII actin remodeling protein [Source:HGNC Symbol;Acc:HGNC:3750]	4813	0.014776130206882954	0.058912143	No	
row_35	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	5068	0.013242240995168686	0.048705824	No	
row_36	SVIL	supervillin [Source:HGNC Symbol;Acc:HGNC:11480]	5274	0.012070290744304657	0.040670317	No	
row_37	CKB	creatine kinase B [Source:HGNC Symbol;Acc:HGNC:1991]	5392	0.011331932619214058	0.0367329	No	
row_38	SORBS1	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	5436	0.011093230918049812	0.03629741	No	
row_39	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	5437	0.011089646257460117	0.037916552	No	
row_40	TPM3	tropomyosin 3 [Source:HGNC Symbol;Acc:HGNC:12012]	5543	0.010418741963803768	0.034419335	No	
row_41	CASQ1	calsequestrin 1 [Source:HGNC Symbol;Acc:HGNC:1512]	5547	0.010384516790509224	0.035792142	No	
row_42	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	6100	0.007446094416081905	0.0104968585	No	
row_43	GAA	alpha glucosidase [Source:HGNC Symbol;Acc:HGNC:4065]	6728	0.004748721607029438	-0.018776827	No	
row_44	FDPS	farnesyl diphosphate synthase [Source:HGNC Symbol;Acc:HGNC:3631]	6788	0.004544877912849188	-0.020933116	No	
row_45	MB	myoglobin [Source:HGNC Symbol;Acc:HGNC:6915]	6907	0.004066545981913805	-0.025979107	No	
row_46	ACTA1	actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]	7073	0.0034646366257220507	-0.03335931	No	
row_47	SSPN	sarcospan [Source:HGNC Symbol;Acc:HGNC:11322]	7081	0.003421657020226121	-0.033194292	No	
row_48	DMD	dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]	7149	0.0032402961514890194	-0.035923414	No	
row_49	TNNC2	troponin C2, fast skeletal type [Source:HGNC Symbol;Acc:HGNC:11944]	7273	0.002815498737618327	-0.041391034	No	
row_50	CKM	creatine kinase, M-type [Source:HGNC Symbol;Acc:HGNC:1994]	7524	0.002100596437230706	-0.053032912	No	
row_51	DES	desmin [Source:HGNC Symbol;Acc:HGNC:2770]	8077	0.0010108151473104954	-0.07926778	No	
row_52	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:811]	8417	5.152267985977232E-4	-0.09539481	No	
row_53	FST	follistatin [Source:HGNC Symbol;Acc:HGNC:3971]	8571	3.698132059071213E-4	-0.10265335	No	
row_54	SCHIP1	schwannomin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:15678]	8615	3.2513021142221987E-4	-0.10466103	No	
row_55	MYL7	myosin light chain 7 [Source:HGNC Symbol;Acc:HGNC:21719]	8719	2.455103676766157E-4	-0.109547995	No	
row_56	CFD	complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]	8834	1.698922860668972E-4	-0.11497174	No	
row_57	MYOZ1	myozenin 1 [Source:HGNC Symbol;Acc:HGNC:13752]	8858	1.5091222303453833E-4	-0.11604898	No	
row_58	CHRNG	cholinergic receptor nicotinic gamma subunit [Source:HGNC Symbol;Acc:HGNC:1967]	9059	2.121349643857684E-5	-0.12560473	No	
row_59	TNNI2	troponin I2, fast skeletal type [Source:HGNC Symbol;Acc:HGNC:11946]	9174	-4.044644083478488E-5	-0.13104738	No	
row_60	MYL1	myosin light chain 1 [Source:HGNC Symbol;Acc:HGNC:7582]	9214	-5.5881602747831494E-5	-0.1329032	No	
row_61	MYL11	myosin light chain 11 [Source:HGNC Symbol;Acc:HGNC:29824]	9338	-1.1193064710823819E-4	-0.13876556	No	
row_62	MYH1	myosin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:7567]	9369	-1.278966519748792E-4	-0.1401807	No	
row_63	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	9448	-1.685503957560286E-4	-0.14388406	No	
row_64	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:1405]	9602	-2.374144969508052E-4	-0.15116192	No	
row_65	COX6A2	cytochrome c oxidase subunit 6A2 [Source:HGNC Symbol;Acc:HGNC:2279]	9661	-2.639196172822267E-4	-0.15389545	No	
row_66	MYH7	myosin heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:7577]	9744	-2.983341983053833E-4	-0.15777104	No	
row_67	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	9812	-3.2404245575889945E-4	-0.16092594	No	
row_68	HSPB2	heat shock protein family B (small) member 2 [Source:HGNC Symbol;Acc:HGNC:5247]	9918	-3.6664155777543783E-4	-0.1658908	No	
row_69	KCNH1	potassium voltage-gated channel subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:6250]	10211	-5.238986341282725E-4	-0.17977025	No	
row_70	PDE4DIP	phosphodiesterase 4D interacting protein [Source:HGNC Symbol;Acc:HGNC:15580]	10252	-5.451977485790849E-4	-0.18160242	No	
row_71	SGCG	sarcoglycan gamma [Source:HGNC Symbol;Acc:HGNC:10809]	10261	-5.49599586520344E-4	-0.18190452	No	
