NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS30	mitochondrial ribosomal protein S30 [Source:HGNC Symbol;Acc:HGNC:8769]	80	0.20345854759216309	0.02581113	Yes	
row_1	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	136	0.16468502581119537	0.04716993	Yes	
row_2	COX7A2L	cytochrome c oxidase subunit 7A2 like [Source:HGNC Symbol;Acc:HGNC:2289]	203	0.1363658905029297	0.063877374	Yes	
row_3	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	254	0.12211418896913528	0.07927408	Yes	
row_4	RHOT1	ras homolog family member T1 [Source:HGNC Symbol;Acc:HGNC:21168]	324	0.10674348473548889	0.09152296	Yes	
row_5	NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 [Source:HGNC Symbol;Acc:HGNC:7688]	370	0.09957614541053772	0.103875734	Yes	
row_6	TOMM70	translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]	414	0.09385085850954056	0.11549016	Yes	
row_7	OGDH	oxoglutarate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8124]	449	0.08999862521886826	0.12697393	Yes	
row_8	PHYH	phytanoyl-CoA 2-hydroxylase [Source:HGNC Symbol;Acc:HGNC:8940]	531	0.08235646039247513	0.1350964	Yes	
row_9	CASP7	caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508]	578	0.07814440876245499	0.14427939	Yes	
row_10	LRPPRC	leucine rich pentatricopeptide repeat containing [Source:HGNC Symbol;Acc:HGNC:15714]	609	0.0759771391749382	0.15391198	Yes	
row_11	OXA1L	OXA1L mitochondrial inner membrane protein [Source:HGNC Symbol;Acc:HGNC:8526]	637	0.0741654559969902	0.16342416	Yes	
row_12	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	749	0.06879996508359909	0.16813695	Yes	
row_13	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	825	0.06560758501291275	0.17410663	Yes	
row_14	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]	835	0.06522077322006226	0.18317679	Yes	
