NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	254	0.12211418896913528	0.025201967	Yes	
row_1	LONP2	lon peptidase 2, peroxisomal [Source:HGNC Symbol;Acc:HGNC:20598]	337	0.1048281118273735	0.05331166	Yes	
row_2	PEX11A	peroxisomal biogenesis factor 11 alpha [Source:HGNC Symbol;Acc:HGNC:8852]	416	0.09351564943790436	0.07815712	Yes	
row_3	ACSL1	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	435	0.09158357977867126	0.105268344	Yes	
row_4	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	488	0.0864022895693779	0.12917902	Yes	
row_5	GSTK1	glutathione S-transferase kappa 1 [Source:HGNC Symbol;Acc:HGNC:16906]	721	0.06996425241231918	0.13950247	Yes	
row_6	SIAH1	siah E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:10857]	732	0.06931082904338837	0.16019276	Yes	
row_7	PEX6	peroxisomal biogenesis factor 6 [Source:HGNC Symbol;Acc:HGNC:8859]	734	0.06920920312404633	0.1812804	Yes	
row_8	PEX5	peroxisomal biogenesis factor 5 [Source:HGNC Symbol;Acc:HGNC:9719]	924	0.06224314495921135	0.1912926	Yes	
row_9	FIS1	fission, mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:21689]	1130	0.05592624098062515	0.19861421	Yes	
row_10	PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	1156	0.05498884990811348	0.21421689	Yes	
row_11	ABCC5	ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]	1171	0.05467744171619415	0.23024803	Yes	
row_12	SCP2	sterol carrier protein 2 [Source:HGNC Symbol;Acc:HGNC:10606]	1251	0.05274931713938713	0.2425966	Yes	
row_13	ACOT8	acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]	1254	0.05264141038060188	0.25857714	Yes	
row_14	CLN8	CLN8 transmembrane ER and ERGIC protein [Source:HGNC Symbol;Acc:HGNC:2079]	1323	0.051103487610816956	0.27094665	Yes	
row_15	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7 [Source:HGNC Symbol;Acc:HGNC:18324]	1428	0.04919903725385666	0.28102112	Yes	
row_16	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	1613	0.045640796422958374	0.28620127	Yes	
row_17	GNPAT	glyceronephosphate O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:4416]	1651	0.04481305181980133	0.29812527	Yes	
row_18	ABCD3	ATP binding cassette subfamily D member 3 [Source:HGNC Symbol;Acc:HGNC:67]	1712	0.04357997700572014	0.308578	Yes	
row_19	IDH2	isocitrate dehydrogenase (NADP(+)) 2 [Source:HGNC Symbol;Acc:HGNC:5383]	1871	0.04083353281021118	0.3135276	Yes	
row_20	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	1890	0.04048537835478783	0.32503438	Yes	
row_21	PEX2	peroxisomal biogenesis factor 2 [Source:HGNC Symbol;Acc:HGNC:9717]	1895	0.040413640439510345	0.3371856	Yes	
row_22	CTPS1	CTP synthase 1 [Source:HGNC Symbol;Acc:HGNC:2519]	1911	0.04021373763680458	0.34875217	Yes	
row_23	VPS4B	vacuolar protein sorting 4 homolog B [Source:HGNC Symbol;Acc:HGNC:10895]	2068	0.03809550404548645	0.35296082	Yes	
row_24	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	2308	0.03531965613365173	0.35237125	Yes	
row_25	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1 [Source:HGNC Symbol;Acc:HGNC:11104]	2780	0.030177583917975426	0.33916906	Yes	
row_26	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	2793	0.030074290931224823	0.34778205	Yes	
row_27	ISOC1	isochorismatase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24254]	2836	0.029669707641005516	0.3548436	Yes	
row_28	SLC35B2	solute carrier family 35 member B2 [Source:HGNC Symbol;Acc:HGNC:16872]	2852	0.029543360695242882	0.36315164	Yes	
row_29	SLC25A17	solute carrier family 25 member 17 [Source:HGNC Symbol;Acc:HGNC:10987]	2875	0.02934425324201584	0.3710657	Yes	
row_30	PEX13	peroxisomal biogenesis factor 13 [Source:HGNC Symbol;Acc:HGNC:8855]	2921	0.02896205708384514	0.37776837	Yes	
row_31	MLYCD	malonyl-CoA decarboxylase [Source:HGNC Symbol;Acc:HGNC:7150]	2999	0.028277739882469177	0.38273895	Yes	
row_32	CNBP	CCHC-type zinc finger nucleic acid binding protein [Source:HGNC Symbol;Acc:HGNC:13164]	3029	0.027988892048597336	0.38990596	Yes	
row_33	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit [Source:HGNC Symbol;Acc:HGNC:3435]	3132	0.027122994884848595	0.39333397	Yes	
row_34	DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	3314	0.025535449385643005	0.3925171	Yes	
row_35	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	3487	0.02397831715643406	0.39165306	Yes	
row_36	MVP	major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]	3517	0.023773716762661934	0.39753282	Yes	
row_37	RDH11	retinol dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:17964]	3596	0.02317758835852146	0.40089834	Yes	
row_38	ABCD1	ATP binding cassette subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:61]	3647	0.022837961092591286	0.4054928	Yes	
