NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OCRL	OCRL inositol polyphosphate-5-phosphatase [Source:HGNC Symbol;Acc:HGNC:8108]	110	0.1792372316122055	0.03451047	Yes	
row_1	TMED2	transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]	116	0.17573145031929016	0.07324068	Yes	
row_2	RER1	retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]	140	0.16006338596343994	0.10763987	Yes	
row_3	STX16	syntaxin 16 [Source:HGNC Symbol;Acc:HGNC:11431]	237	0.12723331153392792	0.13128483	Yes	
row_4	GOLGA4	golgin A4 [Source:HGNC Symbol;Acc:HGNC:4427]	274	0.11445280909538269	0.15495126	Yes	
row_5	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]	279	0.11398650705814362	0.18003723	Yes	
row_6	SCAMP1	secretory carrier membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10563]	303	0.1097753569483757	0.20328513	Yes	
row_7	STX7	syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442]	340	0.10440293699502945	0.22472301	Yes	
row_8	AP2B1	adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]	353	0.102110855281353	0.24679482	Yes	
row_9	NAPG	NSF attachment protein gamma [Source:HGNC Symbol;Acc:HGNC:7642]	411	0.09426936507225037	0.26498616	Yes	
row_10	VPS45	vacuolar protein sorting 45 homolog [Source:HGNC Symbol;Acc:HGNC:14579]	438	0.09130973368883133	0.28399658	Yes	
row_11	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	542	0.0812925323843956	0.2971211	Yes	
row_12	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	678	0.07171177864074707	0.3065982	Yes	
row_13	RAB14	RAB14, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16524]	719	0.07003951817750931	0.32022566	Yes	
row_14	COPB2	COPI coat complex subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:2232]	750	0.06873073428869247	0.33403882	Yes	
row_15	CLCN3	chloride voltage-gated channel 3 [Source:HGNC Symbol;Acc:HGNC:2021]	866	0.06435947120189667	0.34283736	Yes	
row_16	ARF1	ADP ribosylation factor 1 [Source:HGNC Symbol;Acc:HGNC:652]	900	0.06302658468484879	0.35524288	Yes	
row_17	GOSR2	golgi SNAP receptor complex member 2 [Source:HGNC Symbol;Acc:HGNC:4431]	912	0.06241810321807861	0.3685605	Yes	
row_18	VAMP7	vesicle associated membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:11486]	923	0.062269262969493866	0.38189268	Yes	
row_19	CLN5	CLN5 intracellular trafficking protein [Source:HGNC Symbol;Acc:HGNC:2076]	931	0.06193576380610466	0.3952937	Yes	
row_20	TMED10	transmembrane p24 trafficking protein 10 [Source:HGNC Symbol;Acc:HGNC:16998]	940	0.061626579612493515	0.40857857	Yes	
row_21	RAB2A	RAB2A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9763]	982	0.060257136821746826	0.41998923	Yes	
row_22	YIPF6	Yip1 domain family member 6 [Source:HGNC Symbol;Acc:HGNC:28304]	1150	0.055197823792696	0.42428142	Yes	
row_23	USO1	USO1 vesicle transport factor [Source:HGNC Symbol;Acc:HGNC:30904]	1201	0.05407211184501648	0.43389222	Yes	
row_24	STX12	syntaxin 12 [Source:HGNC Symbol;Acc:HGNC:11430]	1496	0.04778163135051727	0.43049574	Yes	
row_25	ATP6V1H	ATPase H+ transporting V1 subunit H [Source:HGNC Symbol;Acc:HGNC:18303]	1542	0.046906210482120514	0.43875548	Yes	
row_26	STAM	signal transducing adaptor molecule [Source:HGNC Symbol;Acc:HGNC:11357]	1627	0.04539210721850395	0.44482338	Yes	
row_27	AP1G1	adaptor related protein complex 1 subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:555]	1638	0.04515496641397476	0.4543605	Yes	
row_28	CLTA	clathrin light chain A [Source:HGNC Symbol;Acc:HGNC:2090]	1695	0.04401298612356186	0.46145517	Yes	
row_29	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]	1973	0.03932759165763855	0.45699307	Yes	
row_30	VPS4B	vacuolar protein sorting 4 homolog B [Source:HGNC Symbol;Acc:HGNC:10895]	2068	0.03809550404548645	0.46096703	Yes	
row_31	TMX1	thioredoxin related transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:15487]	2148	0.037196192890405655	0.4654555	Yes	
row_32	ANP32E	acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]	2150	0.03719473257660866	0.47365576	Yes	
row_33	SEC31A	SEC31 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:17052]	2226	0.0362497940659523	0.4781247	Yes	
row_34	VAMP3	vesicle associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:12644]	2311	0.035285141319036484	0.48195142	Yes	
row_35	VAMP4	vesicle associated membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:12645]	2375	0.03461173549294472	0.48662823	Yes	
row_36	KIF1B	kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]	2757	0.03036998026072979	0.47523025	Yes	
row_37	SOD1	superoxide dismutase 1 [Source:HGNC Symbol;Acc:HGNC:11179]	2793	0.030074290931224823	0.48023343	Yes	
row_38	SNAP23	synaptosome associated protein 23 [Source:HGNC Symbol;Acc:HGNC:11131]	2808	0.029968610033392906	0.48621264	Yes	
row_39	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	2861	0.029438069090247154	0.49026573	Yes	
row_40	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	2905	0.029042446985840797	0.4946594	Yes	
row_41	RAB22A	RAB22A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9764]	3207	0.026477180421352386	0.48620552	No	
row_42	AP2M1	adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564]	3580	0.023287959396839142	0.47366542	No	
row_43	DOP1A	DOP1 leucine zipper like protein A [Source:HGNC Symbol;Acc:HGNC:21194]	3584	0.02327018603682518	0.47868276	No	
row_44	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	3762	0.02184770070016384	0.4751037	No	
row_45	M6PR	mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]	3996	0.02006165124475956	0.46846345	No	
row_46	BET1	Bet1 golgi vesicular membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:14562]	4105	0.01927674002945423	0.4675981	No	
row_47	CD63	CD63 molecule [Source:HGNC Symbol;Acc:HGNC:1692]	4195	0.01871141791343689	0.46751165	No	
row_48	NAPA	NSF attachment protein alpha [Source:HGNC Symbol;Acc:HGNC:7641]	4202	0.018672926351428032	0.4713668	No	
row_49	YKT6	YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959]	4250	0.018297165632247925	0.47318736	No	
row_50	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	4434	0.01713121496140957	0.46827686	No	
row_51	GBF1	golgi brefeldin A resistant guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4181]	4675	0.015577415004372597	0.4603091	No	
row_52	ERGIC3	ERGIC and golgi 3 [Source:HGNC Symbol;Acc:HGNC:15927]	5061	0.013275251723825932	0.44493	No	
row_53	COPE	COPI coat complex subunit epsilon [Source:HGNC Symbol;Acc:HGNC:2234]	5367	0.011464261449873447	0.43295664	No	
row_54	LMAN1	lectin, mannose binding 1 [Source:HGNC Symbol;Acc:HGNC:6631]	5866	0.008654861710965633	0.4111751	No	
row_55	CLTC	clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]	5958	0.008205264806747437	0.40866375	No	
row_56	SSPN	sarcospan [Source:HGNC Symbol;Acc:HGNC:11322]	7081	0.003421657020226121	0.35602444	No	
row_57	PPT1	palmitoyl-protein thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:9325]	7750	0.001536591094918549	0.3245738	No	
row_58	ATP6V1B1	ATPase H+ transporting V1 subunit B1 [Source:HGNC Symbol;Acc:HGNC:853]	8033	0.0010788480285555124	0.31139216	No	
row_59	BNIP3	BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]	8622	3.179974155500531E-4	0.28347865	No	
row_60	MON2	MON2 homolog, regulator of endosome-to-Golgi trafficking [Source:HGNC Symbol;Acc:HGNC:29177]	9065	1.7017428035615012E-5	0.26244682	No	
row_61	AP3B1	adaptor related protein complex 3 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:566]	14820	-0.007113533094525337	-0.0098192785	No	
row_62	ARFIP1	ADP ribosylation factor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21496]	14872	-0.00723987864330411	-0.010641031	No	
row_63	DNM1L	dynamin 1 like [Source:HGNC Symbol;Acc:HGNC:2973]	15532	-0.009021959267556667	-0.040003456	No	
row_64	SH3GL2	SH3 domain containing GRB2 like 2, endophilin A1 [Source:HGNC Symbol;Acc:HGNC:10831]	16057	-0.010704499669373035	-0.06256788	No	
row_65	SNX2	sorting nexin 2 [Source:HGNC Symbol;Acc:HGNC:11173]	16386	-0.01193581335246563	-0.07553126	No	
row_66	ARFGAP3	ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]	16813	-0.01355254091322422	-0.09280014	No	
row_67	RAB5A	RAB5A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9783]	16829	-0.013616826385259628	-0.090494506	No	
row_68	SCAMP3	secretory carrier membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:10565]	17737	-0.017973585054278374	-0.1296747	No	
row_69	GALC	galactosylceramidase [Source:HGNC Symbol;Acc:HGNC:4115]	17837	-0.018589092418551445	-0.1302642	No	
row_70	ATP7A	ATPase copper transporting alpha [Source:HGNC Symbol;Acc:HGNC:869]	17878	-0.01880619488656521	-0.12799762	No	
row_71	ICA1	islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]	17945	-0.01930934749543667	-0.12685686	No	
row_72	SEC24D	SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]	18358	-0.022053152322769165	-0.14157446	No	
row_73	CAV2	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]	18517	-0.02308976836502552	-0.14397386	No	
row_74	TPD52	tumor protein D52 [Source:HGNC Symbol;Acc:HGNC:12005]	18677	-0.02431490086019039	-0.14614917	No	
row_75	IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	18706	-0.02458391711115837	-0.1420303	No	
row_76	COG2	component of oligomeric golgi complex 2 [Source:HGNC Symbol;Acc:HGNC:6546]	18867	-0.02604169026017189	-0.1438703	No	
