NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XIAP	X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:HGNC:592]	193	0.1402321606874466	0.04481513	No	
row_1	TRIM33	tripartite motif containing 33 [Source:HGNC Symbol;Acc:HGNC:16290]	439	0.09128186106681824	0.06831658	No	
row_2	HDAC1	histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852]	876	0.06396050751209259	0.072227806	No	
row_3	FNTA	farnesyltransferase, CAAX box, alpha [Source:HGNC Symbol;Acc:HGNC:3782]	1311	0.0512586273252964	0.07134439	No	
row_4	BMPR2	bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078]	1592	0.04591729864478111	0.075720035	No	
row_5	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	1732	0.043229710310697556	0.085758775	No	
row_6	ARID4B	AT-rich interaction domain 4B [Source:HGNC Symbol;Acc:HGNC:15550]	1898	0.04037259891629219	0.09346262	No	
row_7	UBE2D3	ubiquitin conjugating enzyme E2 D3 [Source:HGNC Symbol;Acc:HGNC:12476]	2064	0.03812391310930252	0.10030083	No	
row_8	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	2167	0.03699985146522522	0.10969893	No	
row_9	CDK9	cyclin dependent kinase 9 [Source:HGNC Symbol;Acc:HGNC:1780]	2923	0.028937142342329025	0.08497481	No	
row_10	SKIL	SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]	3316	0.025511689484119415	0.07617508	No	
row_11	APC	APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]	4564	0.01634415052831173	0.023232546	No	
row_12	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	4694	0.015470730140805244	0.02306038	No	
row_13	TGFBR1	transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]	4831	0.014650645665824413	0.022240007	No	
row_14	NCOR2	nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:HGNC:7673]	4882	0.01437228824943304	0.025397604	No	
row_15	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	5437	0.011089646257460117	0.0033508164	No	
row_16	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	5855	0.008718209341168404	-0.013101169	No	
row_17	SMURF1	SMAD specific E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:16807]	5924	0.008359376341104507	-0.013113293	No	
row_18	KLF10	KLF transcription factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]	6227	0.006799215450882912	-0.024841338	No	
row_19	SPTBN1	spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]	7056	0.0035269903019070625	-0.06281479	No	
row_20	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	7582	0.0019383038161322474	-0.08700688	No	
row_21	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	9700	-2.8012588154524565E-4	-0.18745956	No	
row_22	LEFTY2	left-right determination factor 2 [Source:HGNC Symbol;Acc:HGNC:3122]	9959	-3.8669630885124207E-4	-0.19956607	No	
row_23	SMAD7	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	12960	-0.0033451735507696867	-0.3407826	No	
row_24	SKI	SKI proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10896]	14173	-0.00548854423686862	-0.3962415	No	
row_25	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	16736	-0.013267472386360168	-0.51283276	No	
row_26	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	16996	-0.014402070082724094	-0.5195915	No	
row_27	LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	17135	-0.014981307089328766	-0.5203796	No	
row_28	THBS1	thrombospondin 1 [Source:HGNC Symbol;Acc:HGNC:11785]	17349	-0.015976781025528908	-0.52434707	No	
row_29	NOG	noggin [Source:HGNC Symbol;Acc:HGNC:7866]	17378	-0.016122641041874886	-0.51947063	No	
row_30	BMPR1A	bone morphogenetic protein receptor type 1A [Source:HGNC Symbol;Acc:HGNC:1076]	17383	-0.016154849901795387	-0.5134418	No	
row_31	ID1	inhibitor of DNA binding 1 [Source:HGNC Symbol;Acc:HGNC:5360]	18119	-0.020372556522488594	-0.54051286	No	
row_32	TGIF1	TGFB induced factor homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11776]	18597	-0.023686915636062622	-0.55405265	No	
row_33	SMAD1	SMAD family member 1 [Source:HGNC Symbol;Acc:HGNC:6767]	18754	-0.02498091384768486	-0.5518464	No	
row_34	ACVR1	activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]	19199	-0.029092907905578613	-0.5617376	Yes	
row_35	TJP1	tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827]	19398	-0.03105738013982773	-0.5591872	Yes	
row_36	PPM1A	protein phosphatase, Mg2+/Mn2+ dependent 1A [Source:HGNC Symbol;Acc:HGNC:9275]	19680	-0.03446480259299278	-0.55926776	Yes	
row_37	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	19909	-0.03796062618494034	-0.55548495	Yes	
row_38	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	19960	-0.03919445350766182	-0.542772	Yes	
row_39	ID3	inhibitor of DNA binding 3 [Source:HGNC Symbol;Acc:HGNC:5362]	20027	-0.04040884971618652	-0.5303515	Yes	
row_40	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	20038	-0.040626492351293564	-0.51518726	Yes	
row_41	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	20198	-0.043902721256017685	-0.50583947	Yes	
row_42	HIPK2	homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14402]	20235	-0.045026712119579315	-0.49021628	Yes	
row_43	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	20248	-0.04528003931045532	-0.4733556	Yes	
row_44	FKBP1A	FKBP prolyl isomerase 1A [Source:HGNC Symbol;Acc:HGNC:3711]	20302	-0.04672869294881821	-0.45788476	Yes	
row_45	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	20421	-0.0510534830391407	-0.4438367	Yes	
row_46	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	20486	-0.05365750193595886	-0.42622113	Yes	
row_47	WWTR1	WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:24042]	20689	-0.06597588211297989	-0.41041875	Yes	
row_48	PPP1CA	protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]	20696	-0.06676727533340454	-0.38500145	Yes	
row_49	ENG	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]	20733	-0.07034644484519958	-0.35963136	Yes	
row_50	BCAR3	BCAR3 adaptor protein, NSP family member [Source:HGNC Symbol;Acc:HGNC:973]	20778	-0.07634191960096359	-0.33233333	Yes	
row_51	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	20840	-0.08609528839588165	-0.3020882	Yes	
row_52	SMURF2	SMAD specific E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16809]	20983	-0.18083927035331726	-0.23921862	Yes	
row_53	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	21096	-0.6363527178764343	4.2762182E-4	Yes	
