NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SSR1	signal sequence receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:11323]	68	0.21651312708854675	0.05401343	Yes	
row_1	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	214	0.13193826377391815	0.0819953	Yes	
row_2	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	217	0.13138176500797272	0.11664116	Yes	
row_3	SERP1	stress associated endoplasmic reticulum protein 1 [Source:HGNC Symbol;Acc:HGNC:10759]	313	0.10854978114366531	0.14081995	Yes	
row_4	SLC30A5	solute carrier family 30 member 5 [Source:HGNC Symbol;Acc:HGNC:19089]	451	0.08962468802928925	0.15799393	Yes	
row_5	EXOC2	exocyst complex component 2 [Source:HGNC Symbol;Acc:HGNC:24968]	461	0.08846559375524521	0.1809581	Yes	
row_6	DKC1	dyskerin pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:2890]	554	0.07960184663534164	0.19762513	Yes	
row_7	HSP90B1	heat shock protein 90 beta family member 1 [Source:HGNC Symbol;Acc:HGNC:12028]	591	0.07699920237064362	0.21627124	Yes	
row_8	EDC4	enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]	641	0.07396109402179718	0.23349479	Yes	
row_9	WFS1	wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762]	668	0.072100929915905	0.25132197	Yes	
row_10	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	749	0.06879996508359909	0.2657042	Yes	
row_11	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	805	0.0662529468536377	0.28060374	Yes	
row_12	ERO1A	endoplasmic reticulum oxidoreductase 1 alpha [Source:HGNC Symbol;Acc:HGNC:13280]	853	0.06473884731531143	0.29548392	Yes	
row_13	GOSR2	golgi SNAP receptor complex member 2 [Source:HGNC Symbol;Acc:HGNC:4431]	912	0.06241810321807861	0.3092265	Yes	
row_14	FKBP14	FKBP prolyl isomerase 14 [Source:HGNC Symbol;Acc:HGNC:18625]	947	0.06136249378323555	0.32383308	Yes	
row_15	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1 [Source:HGNC Symbol;Acc:HGNC:18967]	1439	0.049021244049072266	0.31340918	Yes	
row_16	HSPA5	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	1470	0.048443134874105453	0.32479003	Yes	
row_17	PDIA6	protein disulfide isomerase family A member 6 [Source:HGNC Symbol;Acc:HGNC:30168]	1499	0.04771217703819275	0.33607286	Yes	
row_18	PREB	prolactin regulatory element binding [Source:HGNC Symbol;Acc:HGNC:9356]	1684	0.044309649616479874	0.33902562	Yes	
row_19	EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	1690	0.044131748378276825	0.35045716	Yes	
row_20	MTREX	Mtr4 exosome RNA helicase [Source:HGNC Symbol;Acc:HGNC:18734]	1771	0.042537182569503784	0.35789478	Yes	
row_21	CNOT4	CCR4-NOT transcription complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:7880]	1864	0.040950484573841095	0.36434126	Yes	
row_22	ARFGAP1	ADP ribosylation factor GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:15852]	2071	0.038070496171712875	0.36459634	Yes	
row_23	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	2119	0.03751587122678757	0.372278	Yes	
row_24	SEC31A	SEC31 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:17052]	2226	0.0362497940659523	0.37681466	Yes	
row_25	PAIP1	poly(A) binding protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16945]	2232	0.03618624806404114	0.3861452	Yes	
row_26	IARS1	isoleucyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:5330]	2448	0.03368657827377319	0.38481236	Yes	
row_27	SPCS1	signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]	2545	0.032644566148519516	0.388872	Yes	
row_28	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]	2566	0.03242189437150955	0.3964927	Yes	
row_29	CNOT6	CCR4-NOT transcription complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:14099]	2668	0.03104987181723118	0.39989248	Yes	
row_30	CALR	calreticulin [Source:HGNC Symbol;Acc:HGNC:1455]	2671	0.03102909028530121	0.4080022	Yes	
row_31	POP4	POP4 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:30081]	2747	0.030488494783639908	0.41249198	Yes	
row_32	EXOSC2	exosome component 2 [Source:HGNC Symbol;Acc:HGNC:17097]	2800	0.030028928071260452	0.4179557	Yes	
row_33	RPS14	ribosomal protein S14 [Source:HGNC Symbol;Acc:HGNC:10387]	2872	0.029361369088292122	0.42233792	Yes	
row_34	CXXC1	CXXC finger protein 1 [Source:HGNC Symbol;Acc:HGNC:24343]	2913	0.029000649228692055	0.42810133	Yes	
row_35	EEF2	eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:HGNC:3214]	3119	0.027221346274018288	0.4255352	Yes	
row_36	EXOSC9	exosome component 9 [Source:HGNC Symbol;Acc:HGNC:9137]	3130	0.027128981426358223	0.4322326	Yes	
row_37	XPOT	exportin for tRNA [Source:HGNC Symbol;Acc:HGNC:12826]	3139	0.02708490751683712	0.43901357	Yes	
