NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	60	0.22749608755111694	0.037581813	No	
row_1	AGGF1	angiogenic factor with G-patch and FHA domains 1 [Source:HGNC Symbol;Acc:HGNC:24684]	280	0.11396190524101257	0.047395285	No	
row_2	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	563	0.07902655005455017	0.04799286	No	
row_3	YTHDC1	YTH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30626]	574	0.07839817553758621	0.061453346	No	
row_4	MIOS	meiosis regulator for oocyte development [Source:HGNC Symbol;Acc:HGNC:21905]	632	0.07436234503984451	0.07195441	No	
row_5	ATRN	attractin [Source:HGNC Symbol;Acc:HGNC:885]	698	0.07087873667478561	0.08145455	No	
row_6	ZMIZ1	zinc finger MIZ-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16493]	733	0.06924240291118622	0.09214252	No	
row_7	TOGARAM1	TOG array regulator of axonemal microtubules 1 [Source:HGNC Symbol;Acc:HGNC:19959]	762	0.0683925524353981	0.102965616	No	
row_8	NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	1133	0.055840395390987396	0.09524352	No	
row_9	PRDM2	PR/SET domain 2 [Source:HGNC Symbol;Acc:HGNC:9347]	1155	0.05499550327658653	0.10401881	No	
row_10	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	1467	0.04846014082431793	0.09779902	No	
row_11	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A [Source:HGNC Symbol;Acc:HGNC:3091]	1544	0.04683542996644974	0.10250007	No	
row_12	ATP2C1	ATPase secretory pathway Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:13211]	1606	0.04578056186437607	0.107729115	No	
row_13	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	1847	0.04116591066122055	0.103599325	No	
row_14	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	1862	0.04095907136797905	0.110213146	No	
row_15	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	1890	0.04048537835478783	0.11612264	No	
row_16	ANXA4	annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]	1893	0.04044056683778763	0.123216696	No	
row_17	PTPRM	protein tyrosine phosphatase receptor type M [Source:HGNC Symbol;Acc:HGNC:9675]	1904	0.04032132029533386	0.12990795	No	
row_18	VAV2	vav guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:12658]	2241	0.036016955971717834	0.1202835	No	
row_19	DLG1	discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900]	2636	0.03151930123567581	0.10709283	No	
row_20	TENT4A	terminal nucleotidyltransferase 4A [Source:HGNC Symbol;Acc:HGNC:16705]	2779	0.03017984703183174	0.10568463	No	
row_21	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	2816	0.029910050332546234	0.10928476	No	
row_22	MTA1	metastasis associated 1 [Source:HGNC Symbol;Acc:HGNC:7410]	2959	0.028621923178434372	0.1075996	No	
row_23	NIPBL	NIPBL cohesin loading factor [Source:HGNC Symbol;Acc:HGNC:28862]	3116	0.027284320443868637	0.10500883	No	
row_24	PTPN21	protein tyrosine phosphatase non-receptor type 21 [Source:HGNC Symbol;Acc:HGNC:9651]	3193	0.026622438803315163	0.10611646	No	
row_25	CDK13	cyclin dependent kinase 13 [Source:HGNC Symbol;Acc:HGNC:1733]	3206	0.026481112465262413	0.110251814	No	
row_26	SLC22A18	solute carrier family 22 member 18 [Source:HGNC Symbol;Acc:HGNC:10964]	3221	0.02636817842721939	0.11427169	No	
row_27	MRPS31	mitochondrial ribosomal protein S31 [Source:HGNC Symbol;Acc:HGNC:16632]	3562	0.02350440062582493	0.10223199	No	
row_28	WDR37	WD repeat domain 37 [Source:HGNC Symbol;Acc:HGNC:31406]	3681	0.02254139445722103	0.10061066	No	
row_29	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:987]	4118	0.019191717728972435	0.083224975	No	
row_30	RBPMS	RNA binding protein, mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:19097]	4214	0.018583782017230988	0.081997186	No	
row_31	PHF3	PHD finger protein 3 [Source:HGNC Symbol;Acc:HGNC:8921]	4248	0.018299465999007225	0.08367631	No	
row_32	CDON	cell adhesion associated, oncogene regulated [Source:HGNC Symbol;Acc:HGNC:17104]	4303	0.0179633479565382	0.084293954	No	
row_33	SCAF8	SR-related CTD associated factor 8 [Source:HGNC Symbol;Acc:HGNC:20959]	4323	0.017813188955187798	0.08655444	No	
row_34	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	4389	0.01739245094358921	0.086545885	No	
