NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	199	0.5096067	1.5675384	0.0014430014	0.07745939	0.126	4822	tags=60%, list=23%, signal=77%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	94	0.4946594	1.4171797	0.02519685	0.20875295	0.519	2905	tags=44%, list=14%, signal=50%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	96	0.4869826	1.3853697	0.03652968	0.19217512	0.638	2916	tags=26%, list=14%, signal=30%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	182	0.4514697	1.3853045	0.02209131	0.14413133	0.638	3750	tags=36%, list=18%, signal=44%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	111	0.4645569	1.3427917	0.0518732	0.17718957	0.801	3691	tags=41%, list=17%, signal=50%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	198	0.41858485	1.2869796	0.054363377	0.24426074	0.933	2963	tags=25%, list=14%, signal=29%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	99	0.41795143	1.2018944	0.15142429	0.4030025	0.994	3221	tags=27%, list=15%, signal=32%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	197	0.38678473	1.2008268	0.11240876	0.35482258	0.994	2600	tags=23%, list=12%, signal=26%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	96	0.4054928	1.1390773	0.24434389	0.4721272	0.998	3647	tags=41%, list=17%, signal=49%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	193	0.36420467	1.11776	0.247851	0.48109046	0.999	2916	tags=16%, list=14%, signal=18%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	192	0.33576173	1.0272177	0.39760837	0.69960564	1.0	3147	tags=31%, list=15%, signal=36%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	199	0.31744078	0.9847427	0.48908296	0.7726302	1.0	5297	tags=52%, list=25%, signal=69%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	102	0.34316772	0.97609884	0.49782294	0.7394813	1.0	3097	tags=27%, list=15%, signal=32%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	95	0.342103	0.9643718	0.5165165	0.7196786	1.0	3434	tags=22%, list=16%, signal=26%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	26	0.41103855	0.95717114	0.5344262	0.69133866	1.0	1229	tags=12%, list=6%, signal=12%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	0.28036615	0.86219317	0.7921348	0.8903763	1.0	2876	tags=17%, list=14%, signal=19%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	198	0.27307287	0.8453788	0.8135593	0.8749581	1.0	2780	tags=17%, list=13%, signal=20%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.280961	0.71225053	0.8950525	1.0	1.0	4882	tags=36%, list=23%, signal=46%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	83	0.24967462	0.7007544	0.9717682	0.97187835	1.0	3065	tags=16%, list=15%, signal=18%	
