NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCP110	centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342]	28	0.3224385380744934	0.058510493	Yes	
row_1	CDKN1B	cyclin dependent kinase inhibitor 1B [Source:HGNC Symbol;Acc:HGNC:1785]	60	0.22749608755111694	0.09925463	Yes	
row_2	NUDT21	nudix hydrolase 21 [Source:HGNC Symbol;Acc:HGNC:13870]	259	0.12125420570373535	0.11229041	Yes	
row_3	UBR7	ubiquitin protein ligase E3 component n-recognin 7 [Source:HGNC Symbol;Acc:HGNC:20344]	282	0.11347906291484833	0.13230163	Yes	
row_4	TMPO	thymopoietin [Source:HGNC Symbol;Acc:HGNC:11875]	374	0.09908437728881836	0.14634049	Yes	
row_5	HMGB3	high mobility group box 3 [Source:HGNC Symbol;Acc:HGNC:5004]	516	0.0836472436785698	0.1551223	Yes	
row_6	CNOT9	CCR4-NOT transcription complex subunit 9 [Source:HGNC Symbol;Acc:HGNC:10445]	528	0.0825735554099083	0.16992313	Yes	
row_7	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	597	0.07671848684549332	0.18091066	Yes	
row_8	PPP1R8	protein phosphatase 1 regulatory subunit 8 [Source:HGNC Symbol;Acc:HGNC:9296]	666	0.07222938537597656	0.19106495	Yes	
row_9	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	800	0.06641844660043716	0.19703148	Yes	
row_10	PAN2	poly(A) specific ribonuclease subunit PAN2 [Source:HGNC Symbol;Acc:HGNC:20074]	913	0.0624052956700325	0.2032576	Yes	
row_11	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	1033	0.05869102478027344	0.20845947	Yes	
row_12	CBX5	chromobox 5 [Source:HGNC Symbol;Acc:HGNC:1555]	1101	0.0565725676715374	0.21575543	Yes	
