NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTSB	cathepsin B [Source:HGNC Symbol;Acc:HGNC:2527]	457	0.08924361318349838	6.7373994E-4	No	
row_1	HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	523	0.08317577093839645	0.018494435	No	
row_2	LAMP2	lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]	678	0.07171177864074707	0.029192667	No	
row_3	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	1050	0.058284834027290344	0.026177526	No	
row_4	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	1772	0.04252292588353157	0.0025263687	No	
row_5	SIRT2	sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]	2542	0.032657455652952194	-0.025892222	No	
row_6	CPQ	carboxypeptidase Q [Source:HGNC Symbol;Acc:HGNC:16910]	2928	0.028913963586091995	-0.03696041	No	
row_7	S100A13	S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]	2933	0.02887871488928795	-0.029888561	No	
row_8	MST1	macrophage stimulating 1 [Source:HGNC Symbol;Acc:HGNC:7380]	3213	0.026435567066073418	-0.036530714	No	
row_9	GNB2	G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398]	3215	0.026404496282339096	-0.02993817	No	
row_10	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	4128	0.019098397344350815	-0.06857838	No	
row_11	MSRB2	methionine sulfoxide reductase B2 [Source:HGNC Symbol;Acc:HGNC:17061]	4363	0.01755683124065399	-0.075309776	No	
row_12	PEF1	penta-EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30009]	4504	0.016691872850060463	-0.07778101	No	
row_13	F12	coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]	4948	0.014032822102308273	-0.09535432	No	
row_14	MMP15	matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161]	5096	0.013080456294119358	-0.09906719	No	
row_15	CTSH	cathepsin H [Source:HGNC Symbol;Acc:HGNC:2535]	5302	0.011881700716912746	-0.105844356	No	
row_16	PLAT	plasminogen activator, tissue type [Source:HGNC Symbol;Acc:HGNC:9051]	5682	0.009609995409846306	-0.12148128	No	
row_17	ADAM9	ADAM metallopeptidase domain 9 [Source:HGNC Symbol;Acc:HGNC:216]	5920	0.008371562696993351	-0.13066548	No	
row_18	SERPINB2	serpin family B member 2 [Source:HGNC Symbol;Acc:HGNC:8584]	6218	0.006843685172498226	-0.143092	No	
row_19	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	6271	0.006601812317967415	-0.14390881	No	
row_20	MMP11	matrix metallopeptidase 11 [Source:HGNC Symbol;Acc:HGNC:7157]	6396	0.006053764373064041	-0.14829315	No	
row_21	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	6892	0.004128787666559219	-0.17083412	No	
row_22	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	6955	0.003878885181620717	-0.17281204	No	
