NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]	249	0.1243991032242775	0.013916974	No	
row_1	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	581	0.07780781388282776	0.014257665	No	
row_2	HYAL2	hyaluronidase 2 [Source:HGNC Symbol;Acc:HGNC:5321]	703	0.07068824768066406	0.023143724	No	
row_3	GRINA	glutamate ionotropic receptor NMDA type subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4589]	792	0.06682702898979187	0.032803852	No	
row_4	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	1126	0.056002140045166016	0.02852664	No	
row_5	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	1136	0.05579974874854088	0.039669894	No	
row_6	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	1720	0.04343281686306	0.020854931	No	
row_7	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2 [Source:HGNC Symbol;Acc:HGNC:9288]	1744	0.043076902627944946	0.028691359	No	
row_8	PARP2	poly(ADP-ribose) polymerase 2 [Source:HGNC Symbol;Acc:HGNC:272]	1838	0.04124312847852707	0.032806814	No	
row_9	CYB5R1	cytochrome b5 reductase 1 [Source:HGNC Symbol;Acc:HGNC:13397]	1945	0.03976917639374733	0.03599617	No	
row_10	CREG1	cellular repressor of E1A stimulated genes 1 [Source:HGNC Symbol;Acc:HGNC:2351]	1975	0.03930552303791046	0.04276408	No	
row_11	SIGMAR1	sigma non-opioid intracellular receptor 1 [Source:HGNC Symbol;Acc:HGNC:8157]	1980	0.039199091494083405	0.050703004	No	
row_12	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:HGNC Symbol;Acc:HGNC:2158]	2005	0.03886357322335243	0.057617873	No	
row_13	POLG2	DNA polymerase gamma 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9180]	2075	0.03803953155875206	0.062214274	No	
row_14	STARD3	StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579]	2156	0.03715156018733978	0.06610155	No	
row_15	TMBIM6	transmembrane BAX inhibitor motif containing 6 [Source:HGNC Symbol;Acc:HGNC:11723]	2161	0.03709566965699196	0.07360423	No	
row_16	BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	2227	0.03624776005744934	0.07801992	No	
row_17	ATP6V1C1	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	2455	0.03356873244047165	0.07414876	No	
row_18	RPN1	ribophorin I [Source:HGNC Symbol;Acc:HGNC:10381]	2514	0.0328875370323658	0.07820161	No	
row_19	STK25	serine/threonine kinase 25 [Source:HGNC Symbol;Acc:HGNC:11404]	2738	0.030551942065358162	0.07389566	No	
row_20	CYB5B	cytochrome b5 type B [Source:HGNC Symbol;Acc:HGNC:24374]	2818	0.0298992358148098	0.07632655	No	
row_21	EIF5	eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]	2897	0.029118098318576813	0.07864314	No	
row_22	RXRB	retinoid X receptor beta [Source:HGNC Symbol;Acc:HGNC:10478]	2986	0.02838776260614395	0.08033104	No	
row_23	PRPF3	pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]	3052	0.02782738022506237	0.083000354	No	
row_24	TST	thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]	3145	0.02703656069934368	0.084217116	No	
row_25	BSG	basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]	3291	0.02570677548646927	0.082628734	No	
row_26	WIZ	WIZ zinc finger [Source:HGNC Symbol;Acc:HGNC:30917]	3412	0.02477286383509636	0.08203975	No	
row_27	BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	3601	0.023129383102059364	0.077864714	No	
row_28	MGAT1	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7044]	3725	0.02215084619820118	0.07658876	No	
row_29	POLE3	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	3785	0.021669548004865646	0.07826729	No	
row_30	PDAP1	PDGFA associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14634]	3988	0.02010975405573845	0.07279785	No	
row_31	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	4104	0.019279712811112404	0.07130822	No	
row_32	YKT6	YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959]	4250	0.018297165632247925	0.068183094	No	
row_33	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	4280	0.018083607777953148	0.070549615	No	
row_34	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	4331	0.01777392439544201	0.07184972	No	
row_35	BAK1	BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	4343	0.017690768465399742	0.07499379	No	
