NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
MESP1	1	ENSG00000166823	
USP18	1	ENSG00000184979	
CHRFAM7A	1	ENSG00000166664	
CTTNBP2	1	ENSG00000077063	
TRIM66	1	ENSG00000166436	
THAP9-AS1	1	ENSG00000251022	
SLC40A1	1	ENSG00000138449	
GOLGA8A	1	ENSG00000175265	
IGSF9	1	ENSG00000085552	
SCD	1	ENSG00000099194	
NSUN5P1	1	ENSG00000223705	
NDUFAF6	1	ENSG00000156170	
ZNF761	1	ENSG00000160336	
TMEM37	1	ENSG00000171227	
SEC14L6	1	ENSG00000214491	
SCDP1	1	ENSG00000226549	
CFAP126	1	ENSG00000188931	
ZNF254	1	ENSG00000213096	
ZNF91	1	ENSG00000167232	
ZNF84	1	ENSG00000198040	
NHLRC3	1	ENSG00000188811	
PRLR	1	ENSG00000113494	
SAMD12	1	ENSG00000177570	
PRIMPOL	1	ENSG00000164306	
CCDC28B	1	ENSG00000160050	
HK2	1	ENSG00000159399	
PATZ1	1	ENSG00000100105	
NPHP3	1	ENSG00000113971	
CCP110	1	ENSG00000103540	
GABBR1	1	ENSG00000204681	
TTC39A	1	ENSG00000085831	
ZNF431	1	ENSG00000196705	
ENPP1	1	ENSG00000197594	
RNPC3	1	ENSG00000185946	
ENPP5	1	ENSG00000112796	
SLC33A1	1	ENSG00000169359	
ZC3H11B	1	ENSG00000215817	
ZNF3	1	ENSG00000166526	
TMEM231	1	ENSG00000205084	
LAMTOR3	1	ENSG00000109270	
G2E3	1	ENSG00000092140	
C9orf72	1	ENSG00000147894	
ADAMTS10	1	ENSG00000142303	
L3MBTL1	1	ENSG00000185513	
CDK5RAP3	1	ENSG00000108465	
GTPBP10	1	ENSG00000105793	
SLC2A10	1	ENSG00000197496	
NPM1P6	1	ENSG00000213881	
BATF	1	ENSG00000156127	
CRELD2	1	ENSG00000184164	
ZNF510	1	ENSG00000081386	
COBLL1	1	ENSG00000082438	
FZD3	1	ENSG00000104290	
LRIG3	1	ENSG00000139263	
SNX29	1	ENSG00000048471	
PPDPF	1	ENSG00000125534	
CAPN7	1	ENSG00000131375	
PNISR	1	ENSG00000132424	
CD164	1	ENSG00000135535	
RALGAPA1P1	1	ENSG00000229419	
CDKN1B	1	ENSG00000111276	
ALG2	1	ENSG00000119523	
GMPPA	1	ENSG00000144591	
PTGES3P1	1	ENSG00000234518	
DNAAF4	1	ENSG00000256061	
GATAD1	1	ENSG00000157259	
ZFP62	1	ENSG00000196670	
ACAP2	1	ENSG00000114331	
SSR1	1	ENSG00000124783	
HSDL1	1	ENSG00000103160	
ELMOD2	1	ENSG00000179387	
RSRP1	1	ENSG00000117616	
PRRC1	1	ENSG00000164244	
UBN2	1	ENSG00000157741	
ASAP3	1	ENSG00000088280	
TTC3P1	1	ENSG00000215105	
SSX2IP	1	ENSG00000117155	
WASHC2A	1	ENSG00000099290	
PTPRF	1	ENSG00000142949	
RANBP10	1	ENSG00000141084	
MRPS30	1	ENSG00000112996	
PRKCSH	1	ENSG00000130175	
C6orf120	1	ENSG00000185127	
TMEM65	1	ENSG00000164983	
EIF2AK2	1	ENSG00000055332	
SOCS6	1	ENSG00000170677	
CILK1	1	ENSG00000112144	
KIF16B	1	ENSG00000089177	
RBSN	1	ENSG00000131381	
ZNF644	1	ENSG00000122482	
BTBD7	1	ENSG00000011114	
AHSA2P	1	ENSG00000173209	
NHLRC2	1	ENSG00000196865	
RCOR3	1	ENSG00000117625	
TMEM214	1	ENSG00000119777	
SMCHD1	1	ENSG00000101596	
SNX13	1	ENSG00000071189	
FKTN	1	ENSG00000106692	
HMGN2P5	1	ENSG00000234664	
SLF2	1	ENSG00000119906	
C17orf80	1	ENSG00000141219	
MAN1A2	1	ENSG00000198162	
EFCAB11	1	ENSG00000140025	
ZNF83	1	ENSG00000167766	
LNPK	1	ENSG00000144320	
CANX	1	ENSG00000127022	
RAB28	1	ENSG00000157869	
ST13P18	1	ENSG00000234322	
RBM18	1	ENSG00000119446	
DBT	1	ENSG00000137992	
OCRL	1	ENSG00000122126	
SNAPC3	1	ENSG00000164975	
TRIM65	1	ENSG00000141569	
KRTCAP2	1	ENSG00000163463	
TMEM192	1	ENSG00000170088	
SLC49A4	1	ENSG00000138463	
TMED2	1	ENSG00000086598	
RSAD1	1	ENSG00000136444	
CRELD1	1	ENSG00000163703	
CYP4V2	1	ENSG00000145476	
PBX1	1	ENSG00000185630	
OTUD3	1	ENSG00000169914	
NACA3P	1	ENSG00000121089	
FAM172A	1	ENSG00000113391	
CLSTN3	1	ENSG00000139182	
FAM8A1	1	ENSG00000137414	
ARL8B	1	ENSG00000134108	
SHPRH	1	ENSG00000146414	
PTPN6	1	ENSG00000111679	
WASHC4	1	ENSG00000136051	
LDAH	1	ENSG00000118961	
SV2A	1	ENSG00000159164	
MIER3	1	ENSG00000155545	
LONRF2	1	ENSG00000170500	
UFL1	1	ENSG00000014123	
DENND4C	1	ENSG00000137145	
HTRA2	1	ENSG00000115317	
MTDH	1	ENSG00000147649	
WLS	1	ENSG00000116729	
PPIG	1	ENSG00000138398	
RER1	1	ENSG00000157916	
TRIM41	1	ENSG00000146063	
ARL1	1	ENSG00000120805	
MARVELD2	1	ENSG00000152939	
NKTR	1	ENSG00000114857	
CEP250	1	ENSG00000126001	
ZNF260	1	ENSG00000254004	
CEP63	1	ENSG00000182923	
VPS8	1	ENSG00000156931	
ZNF252P	1	ENSG00000196922	
MVK	1	ENSG00000110921	
NIPSNAP2	1	ENSG00000146729	
ALDH3A2	1	ENSG00000072210	
NFATC4	1	ENSG00000100968	
ZFP14	1	ENSG00000142065	
LARP1B	1	ENSG00000138709	
VAPA	1	ENSG00000101558	
CEP85	1	ENSG00000130695	
MTX3	1	ENSG00000177034	
TBC1D14	1	ENSG00000132405	
GPR89A	1	ENSG00000117262	
HINT3	1	ENSG00000111911	
CHRNA7	1	ENSG00000175344	
ZNF626	1	ENSG00000188171	
TMOD2	1	ENSG00000128872	
LYST	1	ENSG00000143669	
GNPDA1	1	ENSG00000113552	
PHIP	1	ENSG00000146247	
ZNF672	1	ENSG00000171161	
MED28	1	ENSG00000118579	
TVP23B	1	ENSG00000171928	
SLC9A7	1	ENSG00000065923	
TTC14	1	ENSG00000163728	
MARCHF6	1	ENSG00000145495	
SASH1	1	ENSG00000111961	
FOXO1	1	ENSG00000150907	
CNPY3	1	ENSG00000137161	
TAFAZZIN	1	ENSG00000102125	
TRAPPC11	1	ENSG00000168538	
KRIT1	1	ENSG00000001631	
DCAF8	1	ENSG00000132716	
FAM210B	1	ENSG00000124098	
RBM14	1	ENSG00000239306	
APPL1	1	ENSG00000157500	
SOCS4	1	ENSG00000180008	
AGO4	1	ENSG00000134698	
BRD7P2	1	ENSG00000184100	
POFUT1	1	ENSG00000101346	
TMEM167AP2	1	ENSG00000256210	
FAHD2A	1	ENSG00000115042	
SOS1	1	ENSG00000115904	
IQSEC1	1	ENSG00000144711	
MSL2	1	ENSG00000174579	
XIAP	1	ENSG00000101966	
ZNF75D	1	ENSG00000186376	
FASTKD2	1	ENSG00000118246	
USP48	1	ENSG00000090686	
ELP2	1	ENSG00000134759	
ELK4	1	ENSG00000158711	
JMY	1	ENSG00000152409	
SLC41A1	1	ENSG00000133065	
BDH2P1	1	ENSG00000232699	
LNPEP	1	ENSG00000113441	
COX7A2L	1	ENSG00000115944	
WNK1	1	ENSG00000060237	
HACD2	1	ENSG00000206527	
TMEM106B	1	ENSG00000106460	
TMEM9B	1	ENSG00000175348	
NPC1	1	ENSG00000141458	
CCNG2	1	ENSG00000138764	
SEPTIN5	1	ENSG00000184702	
EIF3E	1	ENSG00000104408	
VPS41	1	ENSG00000006715	
CERT1	1	ENSG00000113163	
VEGFA	1	ENSG00000112715	
ZNF275	1	ENSG00000063587	
GEMIN8	1	ENSG00000046647	
DNAJB9	1	ENSG00000128590	
SARAF	1	ENSG00000133872	
ERBB3	1	ENSG00000065361	
TSEN15	1	ENSG00000198860	
ARMT1	1	ENSG00000146476	
ZNF264	1	ENSG00000083844	
DENND6A	1	ENSG00000174839	
MTMR12	1	ENSG00000150712	
RAB10	1	ENSG00000084733	
CMTM4	1	ENSG00000183723	
SCARB2	1	ENSG00000138760	
ATF1	1	ENSG00000123268	
UHMK1	1	ENSG00000152332	
ANKDD1A	1	ENSG00000166839	
TULP3	1	ENSG00000078246	
ARMCX3	1	ENSG00000102401	
FGD5-AS1	1	ENSG00000225733	
DRG2	1	ENSG00000108591	
ADNP	1	ENSG00000101126	
DNAL4	1	ENSG00000100246	
STX16	1	ENSG00000124222	
CLOCK	1	ENSG00000134852	
TBL2	1	ENSG00000106638	
RPL7P1	1	ENSG00000214485	
GOLGB1	1	ENSG00000173230	
GOPC	1	ENSG00000047932	
TTC3	1	ENSG00000182670	
ZCCHC14	1	ENSG00000140948	
SBF2	1	ENSG00000133812	
DCAF10	1	ENSG00000122741	
MEF2A	1	ENSG00000068305	
XPNPEP3	1	ENSG00000196236	
EIF2S3	1	ENSG00000130741	
FYCO1	1	ENSG00000163820	
SETD7	1	ENSG00000145391	
GUSB	1	ENSG00000169919	
DLG3	1	ENSG00000082458	
IDH1	1	ENSG00000138413	
MTR	1	ENSG00000116984	
PTAR1	1	ENSG00000188647	
HMGN1	1	ENSG00000205581	
SREK1IP1	1	ENSG00000153006	
NUDT21	1	ENSG00000167005	
PANK3	1	ENSG00000120137	
ZNF629	1	ENSG00000102870	
ZKSCAN8	1	ENSG00000198315	
RMND5B	1	ENSG00000145916	
WASHC2C	1	ENSG00000172661	
TMEM68	1	ENSG00000167904	
NUP133	1	ENSG00000069248	
EIF4ENIF1	1	ENSG00000184708	
CFAP298	1	ENSG00000159079	
PLA2G12A	1	ENSG00000123739	
EXD2	1	ENSG00000081177	
RPL15	1	ENSG00000174748	
RMND5A	1	ENSG00000153561	
REV1	1	ENSG00000135945	
GOLGA4	1	ENSG00000144674	
NAA30	1	ENSG00000139977	
ZNF844	1	ENSG00000223547	
SDHAP4	1	ENSG00000214135	
NEU1	1	ENSG00000204386	
ARFGEF1	1	ENSG00000066777	
AGGF1	1	ENSG00000164252	
AMZ2	1	ENSG00000196704	
UBR7	1	ENSG00000012963	
SURF4	1	ENSG00000148248	
LAMP1	1	ENSG00000185896	
NOL3	1	ENSG00000140939	
C2orf69	1	ENSG00000178074	
RUFY3	1	ENSG00000018189	
CNOT6L	1	ENSG00000138767	
ZNF146	1	ENSG00000167635	
STAT2	1	ENSG00000170581	
TMEM33	1	ENSG00000109133	
RETREG2	1	ENSG00000144567	
