NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TTC39A	tetratricopeptide repeat domain 39A [Source:HGNC Symbol;Acc:HGNC:18657]	30	0.32091519236564636	0.054239213	No	
row_1	PEX11A	peroxisomal biogenesis factor 11 alpha [Source:HGNC Symbol;Acc:HGNC:8852]	416	0.09351564943790436	0.05205138	No	
row_2	GLA	galactosidase alpha [Source:HGNC Symbol;Acc:HGNC:4296]	542	0.0812925323843956	0.060176674	No	
row_3	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	563	0.07902655005455017	0.072930135	No	
row_4	NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]	617	0.07541365921497345	0.0834787	No	
row_5	WFS1	wolframin ER transmembrane glycoprotein [Source:HGNC Symbol;Acc:HGNC:12762]	668	0.072100929915905	0.09359602	No	
row_6	SIAH2	siah E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:10858]	818	0.06585162878036499	0.097894825	No	
row_7	MED13L	mediator complex subunit 13L [Source:HGNC Symbol;Acc:HGNC:22962]	826	0.06557074189186096	0.108935595	No	
row_8	RHOBTB3	Rho related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757]	850	0.06488345563411713	0.11909198	No	
row_9	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	1126	0.056002140045166016	0.11565652	No	
row_10	CHPT1	choline phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:17852]	1143	0.0554606169462204	0.12451293	No	
row_11	SLC22A5	solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]	1449	0.048809390515089035	0.11839499	No	
row_12	AKAP1	A-kinase anchoring protein 1 [Source:HGNC Symbol;Acc:HGNC:367]	1612	0.04567285254597664	0.118571416	No	
row_13	INPP5F	inositol polyphosphate-5-phosphatase F [Source:HGNC Symbol;Acc:HGNC:17054]	1928	0.040016449987888336	0.11044981	No	
row_14	HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	2152	0.037175778299570084	0.106235	No	
row_15	DYNLT3	dynein light chain Tctex-type 3 [Source:HGNC Symbol;Acc:HGNC:11694]	2204	0.036500632762908936	0.11012839	No	
row_16	NHERF1	NHERF family PDZ scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:11075]	2233	0.0361822210252285	0.11506644	No	
row_17	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	2239	0.03604426607489586	0.12108046	No	
row_18	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	2269	0.03573581203818321	0.12589325	No	
row_19	UNC119	unc-119 lipid binding chaperone [Source:HGNC Symbol;Acc:HGNC:12565]	2538	0.03269224613904953	0.11874863	No	
row_20	ISG20L2	interferon stimulated exonuclease gene 20 like 2 [Source:HGNC Symbol;Acc:HGNC:25745]	2894	0.029178323224186897	0.10683391	No	
row_21	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	2929	0.02890903875231743	0.11022325	No	
row_22	MINDY1	MINDY lysine 48 deubiquitinase 1 [Source:HGNC Symbol;Acc:HGNC:25648]	2945	0.028751226142048836	0.11449382	No	
row_23	ASB13	ankyrin repeat and SOCS box containing 13 [Source:HGNC Symbol;Acc:HGNC:19765]	3086	0.0275558028370142	0.112579286	No	
row_24	AFF1	ALF transcription elongation factor 1 [Source:HGNC Symbol;Acc:HGNC:7135]	3180	0.026727816089987755	0.11276873	No	
row_25	ESRP2	epithelial splicing regulatory protein 2 [Source:HGNC Symbol;Acc:HGNC:26152]	3251	0.02607319876551628	0.113944516	No	
row_26	DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	3314	0.025535449385643005	0.115409575	No	
row_27	CLDN7	claudin 7 [Source:HGNC Symbol;Acc:HGNC:2049]	3433	0.024532059207558632	0.114022546	No	
row_28	FDFT1	farnesyl-diphosphate farnesyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3629]	3519	0.02376306802034378	0.11408023	No	
row_29	SYNGR1	synaptogyrin 1 [Source:HGNC Symbol;Acc:HGNC:11498]	3686	0.022504661232233047	0.11004604	No	
row_30	TJP3	tight junction protein 3 [Source:HGNC Symbol;Acc:HGNC:11829]	3764	0.02183290757238865	0.11015144	No	
row_31	TFAP2C	transcription factor AP-2 gamma [Source:HGNC Symbol;Acc:HGNC:11744]	4018	0.019942624494433403	0.10151228	No	
row_32	MLPH	melanophilin [Source:HGNC Symbol;Acc:HGNC:29643]	4186	0.018819767981767654	0.096791	No	
row_33	CBFA2T3	CBFA2/RUNX1 partner transcriptional co-repressor 3 [Source:HGNC Symbol;Acc:HGNC:1537]	4285	0.018045471981167793	0.09523508	No	
row_34	CANT1	calcium activated nucleotidase 1 [Source:HGNC Symbol;Acc:HGNC:19721]	4288	0.0180205125361681	0.09826572	No	
row_35	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	4387	0.017408858984708786	0.09659936	No	
row_36	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	4434	0.01713121496140957	0.09737157	No	
row_37	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	4536	0.016554251313209534	0.09541348	No	
row_38	ABCA3	ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]	4537	0.0165232103317976	0.098280005	No	
row_39	SCNN1A	sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]	4566	0.016315883025527	0.09977155	No	
row_40	MREG	melanoregulin [Source:HGNC Symbol;Acc:HGNC:25478]	4664	0.015645451843738556	0.0978471	No	
row_41	NCOR2	nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:HGNC:7673]	4882	0.01437228824943304	0.08996315	No	
row_42	KDM4B	lysine demethylase 4B [Source:HGNC Symbol;Acc:HGNC:29136]	4912	0.014163351617753506	0.091033444	No	
row_43	MPPED2	metallophosphoesterase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1180]	4933	0.014087984338402748	0.092521064	No	
row_44	TGIF2	TGFB induced factor homeobox 2 [Source:HGNC Symbol;Acc:HGNC:15764]	5016	0.013542980886995792	0.09094918	No	
row_45	ARL3	ADP ribosylation factor like GTPase 3 [Source:HGNC Symbol;Acc:HGNC:694]	5032	0.01343004871159792	0.09256176	No	
row_46	SVIL	supervillin [Source:HGNC Symbol;Acc:HGNC:11480]	5274	0.012070290744304657	0.08313074	No	
row_47	NXT1	nuclear transport factor 2 like export factor 1 [Source:HGNC Symbol;Acc:HGNC:15913]	5337	0.011669782921671867	0.08219032	No	
