NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCP110	centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342]	28	0.3224385380744934	0.04473908	No	
row_1	FOXO3	forkhead box O3 [Source:HGNC Symbol;Acc:HGNC:3821]	567	0.07869575917720795	0.030255796	No	
row_2	RAB40C	RAB40C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18285]	661	0.07258764654397964	0.036181316	No	
row_3	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	783	0.06728146225214005	0.040009484	No	
row_4	NOL8	nucleolar protein 8 [Source:HGNC Symbol;Acc:HGNC:23387]	852	0.06479525566101074	0.046017032	No	
row_5	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	901	0.0630246177315712	0.052728027	No	
row_6	MKNK2	MAPK interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]	917	0.062321826815605164	0.06091678	No	
row_7	CSRNP2	cysteine and serine rich nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16006]	971	0.060504697263240814	0.067028545	No	
row_8	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]	1024	0.058973800390958786	0.07296936	No	
row_9	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	1050	0.058284834027290344	0.08010297	No	
row_10	ABCC5	ATP binding cassette subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:56]	1171	0.05467744171619415	0.08217778	No	
row_11	RCHY1	ring finger and CHY zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17479]	1233	0.05333664268255234	0.0868826	No	
row_12	PERP	p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]	1266	0.05227746441960335	0.092822954	No	
row_13	SERTAD3	SERTA domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17931]	1522	0.04725904390215874	0.0873814	No	
row_14	LDHB	lactate dehydrogenase B [Source:HGNC Symbol;Acc:HGNC:6541]	1616	0.04558543115854263	0.08944816	No	
row_15	FAM162A	family with sequence similarity 162 member A [Source:HGNC Symbol;Acc:HGNC:17865]	1741	0.04311136156320572	0.089678824	No	
row_16	ERCC5	ERCC excision repair 5, endonuclease [Source:HGNC Symbol;Acc:HGNC:3437]	1786	0.04219692200422287	0.09360473	No	
row_17	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	1910	0.04021487385034561	0.09346929	No	
row_18	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	1913	0.040169235318899155	0.09911404	No	
row_19	CCNK	cyclin K [Source:HGNC Symbol;Acc:HGNC:1596]	1999	0.038932010531425476	0.10061258	No	
row_20	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]	2090	0.03777431324124336	0.101706564	No	
row_21	DDIT4	DNA damage inducible transcript 4 [Source:HGNC Symbol;Acc:HGNC:24944]	2119	0.03751587122678757	0.10572871	No	
row_22	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	2191	0.03668879717588425	0.10757623	No	
row_23	CD81	CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]	2215	0.03638599067926407	0.11167602	No	
row_24	ELP1	elongator acetyltransferase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:5959]	2373	0.03464079648256302	0.109118	No	
row_25	KIF13B	kinesin family member 13B [Source:HGNC Symbol;Acc:HGNC:14405]	2450	0.0336785726249218	0.11029622	No	
row_26	CGRRF1	cell growth regulator with ring finger domain 1 [Source:HGNC Symbol;Acc:HGNC:15528]	2525	0.03281040117144585	0.11144602	No	
row_27	SLC35D1	solute carrier family 35 member D1 [Source:HGNC Symbol;Acc:HGNC:20800]	2596	0.032119885087013245	0.112688445	No	
row_28	SEC61A1	SEC61 translocon subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:18276]	2610	0.031902819871902466	0.11662581	No	
row_29	FBXW7	F-box and WD repeat domain containing 7 [Source:HGNC Symbol;Acc:HGNC:16712]	2760	0.030298227444291115	0.11382981	No	
row_30	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	2805	0.02999596670269966	0.11601213	No	
row_31	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	2929	0.02890903875231743	0.11426103	No	
row_32	POM121	POM121 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:19702]	2995	0.028291665017604828	0.1151955	No	
row_33	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9378]	3063	0.027721159160137177	0.11595279	No	
row_34	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	3065	0.02771850861608982	0.11986608	No	
row_35	EPS8L2	EPS8 like 2 [Source:HGNC Symbol;Acc:HGNC:21296]	3093	0.027500087395310402	0.12250474	No	
row_36	HDAC3	histone deacetylase 3 [Source:HGNC Symbol;Acc:HGNC:4854]	3140	0.027076996862888336	0.12417428	No	
row_37	WRAP73	WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]	3162	0.026892654597759247	0.12701307	No	
row_38	RPL18	ribosomal protein L18 [Source:HGNC Symbol;Acc:HGNC:10310]	3252	0.026060698553919792	0.12648095	No	
row_39	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	3264	0.025969592854380608	0.12966608	No	
