NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	9	0.481032133102417	0.15119702	Yes	
row_1	VAPA	VAMP associated protein A [Source:HGNC Symbol;Acc:HGNC:12648]	156	0.15253369510173798	0.19232818	Yes	
row_2	ELK4	ETS transcription factor ELK4 [Source:HGNC Symbol;Acc:HGNC:3326]	198	0.13743862509727478	0.23369862	Yes	
row_3	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	217	0.13138176500797272	0.27425456	Yes	
row_4	PIAS1	protein inhibitor of activated STAT 1 [Source:HGNC Symbol;Acc:HGNC:2752]	433	0.09171362966299057	0.29293072	Yes	
row_5	ZMIZ1	zinc finger MIZ-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16493]	733	0.06924240291118622	0.30052587	Yes	
row_6	TMEM50A	transmembrane protein 50A [Source:HGNC Symbol;Acc:HGNC:30590]	875	0.06413381546735764	0.31403062	Yes	
row_7	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:1470]	1510	0.04740593582391739	0.2987987	Yes	
row_8	ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	1812	0.041656043380498886	0.29760322	Yes	
row_9	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	1842	0.04120370373129845	0.30921075	Yes	
row_10	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	1913	0.040169235318899155	0.3185408	Yes	
row_11	APPBP2	amyloid beta precursor protein binding protein 2 [Source:HGNC Symbol;Acc:HGNC:622]	2059	0.03817567229270935	0.32367298	Yes	
row_12	XRCC5	X-ray repair cross complementing 5 [Source:HGNC Symbol;Acc:HGNC:12833]	2257	0.03583664819598198	0.32559294	Yes	
row_13	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	2269	0.03573581203818321	0.33633363	Yes	
row_14	UBE2I	ubiquitin conjugating enzyme E2 I [Source:HGNC Symbol;Acc:HGNC:12485]	2700	0.03087816946208477	0.32560122	Yes	
row_15	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	2850	0.02956610545516014	0.32782918	Yes	
row_16	RPS6KA3	ribosomal protein S6 kinase A3 [Source:HGNC Symbol;Acc:HGNC:10432]	2905	0.029042446985840797	0.33441353	Yes	
row_17	RAB4A	RAB4A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9781]	3169	0.02682594209909439	0.33035204	Yes	
row_18	PTPN21	protein tyrosine phosphatase non-receptor type 21 [Source:HGNC Symbol;Acc:HGNC:9651]	3193	0.026622438803315163	0.337649	Yes	
row_19	DBI	diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]	3294	0.02569659799337387	0.34098935	Yes	
